,comentario,etiquetado_humano
511,dejemos que pongan todo lo que quieran pero cuando empiece el mundial a sabotear todo,
512,9 aos,
513,todo nos molesta pero pues a las personas que circulan por ah pues van a favorecer y lo del mantenimiento no se necesitara si uno como persona lo ocupa de forma correcta esto no es culpa del gobierno,4.0
514,mira nada mas as deverian de poner botes de basura x todos lados,
515,lo bueno que ya le dieron mantenimiento,
516,el problema no es el gobierno el problema es la gente,
517,hayyy no,
518,clara brugada eso va ser un hotel seguridad es lo que necesitamos no ese hotel de paso,
519,siempre buscando el pelo en la sopa,
520,es pues la cuarta,
521,la bronca no son los baos la bronca es que la gente no sabe cuidar y ps la verdad por eso no podemos tener cosas bonitas,
522,gasto innecesario,
523,pero qu tal ac por el estado de mxico en cada lluvia parece ro,
524,zona de crujin jsjs,
525,menos de un ao les doy,
526,es parte de las fuentes de cibeles en el metro hidalgo no se saquen de onda,
527,y las escaleras elctricas ama,
528,puras tonteras de este gobierno,
529,gobierno ridculo,
530,todo muy bonito pero los trenes de la fregada me da risa poca madre,
531,para que nada ms duren lo que va a durar el mundial y despus se queden ah abandonados,
532,ni van a tener agua,
533,y la remodelacin que se hizo cuando pea nieto era presidente nadie las crtico por qu,
534,no les preocupa,
535,ya no te voy a contestar,
536,70 de los trenes estn descompuestos,
537,claudia sheinbaum pardo no queremos mundial queremos nuestra salud,
538,we es que es como si pusieran un mantel elegante sobre una mesa ya para aventarla,
539,solamente arreglan por encimita cuando toda la estructura ya est a punto de colapsar,
540,no les digo cada vez estamos peor,
541,es solo para guardar las apariencias,
542,pero dice clarita que no es por el mundial,
543,,
544,cmo experta en la materia que sugiere usted ingeniera del tiktok,
545,ojal y los tengan limpios,
546,para cuantos les gustan,
547,si falta menos de una semana,
548,podra ir hasta la mare en hora pico pero la decoracin,
549,mejor gastar el dinero en los hospitales en medicamentos,
550,va a estar bn asqueroso,
551,la palabra pandemia te dice algo,
552,,
553,es de la antigedad tena que hacerce algo real,
554,,
555,es serio cre eran memes,
556,solo por el mundial no puede ser tierra dinero para que la fifa gane,
557,pongan uno por mi casa ya que la pared de mi casa es miadero seguro cuando hay carnaval,
558,porque nos toc el gobierno ms pen en serio,
559,de veran gastar en los hospitales y baos del mismo lugar,
560,tambin se gotean,
561,usa uber mija,
562,mejor que no haiga mundial no saben los riesgos de salud que puede ver ms adelante nueva pandemia,
563,y dejenlos,
564,segn yo antes de la remodelacin no haba goteras,
565,sin comentarios seores esto es mxico,
566,,
567,exacto las goteras l humedad las escaleras elctricas que no sirven para eso hubieran usado el presupuesto no que puras cosas inservibles,
568,tu votaste por lo actual,
569,ahora resulta que ya todos son crticos y arquitectos,
570,y luego,
571,y para todos aquellos que defiende no es que nos quejemos de todosimplemente es darse cuenta de la realidady si no te gusta y te sientes feliz en tu carrodeberas prestar tu carro para que los dems lo usen,
572,est bien luego no hay donde entrar al bao,
573,saben como va a terminar eso,
574,mexico magico,
575,no pues para que lo empiezan 8 das antes yo digo que en esos das salgamos ms para que sepan nuestra situacin real,
576,ninngun chile les embona,
577,bye bye moteles,
578,te falto grabar a la gente,
579,sin papel y sin agua para que,
580,mejor que inviertan en medicamentos bsqueda de desaparecidos seguridad y escuelas ya es un cinismo el del gobierno,
581,eso es culpa de caldern,
582,y dicen que nada nos envona,
583,,
584,,
585,y el mantenimiento de los triste,
586,creen que colocando una lmpara tipo farol en una pared ya es una remodelacin me da risa,
587,de todo se quejan como si el prian hubiese hecho algo de mantenimiento a las lneas del metro hasta lo que no comen les hace dao,
588,pero solo arreglaron los ventiladores de la lnea azul pero que hay de los ventiladores de las otras lineas bien gracias,
589,lo van a desvalijar el primer da,
590,mejor que den ms material y medicamentos a los hospitales,
591,si los gobiernos realmente hicieran buen uso de nuestros impuestos este sera un metro digno para el mundial y no esas ridculeses,
592,a mi me dio mucha risa ver los candelabros de hidalgo me da risa,
593,de verdad nada nada nada les embona,
594,,
595,more y sus cosas,
596,si no arreglan las calles los metros van a estar dando de limpieza los baos,
597,que no lo vea el arqui,
598,todo ese gasto debera haber servido para darle mantenimiento a las vas frreas del metro,
599,si ridculo el gobierno el circo mejor pagado del mundo,
600,hacen falta insumos mdicos en los hospitales y solo por la visita de turistas estn haciendo mejoras en la ciudad,
601,esas filtraciones es por el trafico diario de la ciudad lo nico que hicieron fue remodelarlos acabados tu narrativa fuera de contexto,
602,ustedes enserio creen que si lo hubieran arreglado antes aun estara en buenas condiciones que no lo van a pintar pegarle cosas y de ms la gente no sabe cuidar y respetar lo poquito o mucho que hacen ya hay puentes que grafitiaron y estaban recin pintados las paredes de los edificios los mismos anuncios y hasta las luminarias,
603,solo tenan que pulir el mrmol y arreglar las fisuras que entraban en las lluvias y lo ms importante comprar nuevos trenes eso era todo,
604,,
605,dicen que uno abandona el barrio pero el barrio jams te abandona,
606,no hay prioridades solo maquillando para que se vea bonito pero de fondo o no sirve o se est cayendo ejemplo mega farmacia tren maya aeropuerto y podemos seguirle,
607,minihoteles para los visitantes,
608,si no hay botes d ebasura saben cmo va a estar eso jajajajaa,
609,,
610,es la brugadizacion de la cdmx,
611,por 5 pesos para que te sientas como en tu casa,
612,,
613,as es la vida le arreglas una cosa y se descompone otra,
614,es impresionismo arte abstracto lo pint un artista famoso y costo millones,
615,no deverian estar cerca del estadio,
616,lo importante ser que va a pasar despues del mundial claudia sheinbaum pardo clara brugada,
617,,
618,y nosotros que nos cargue la chingada,
619,a m s me gusta mucho,
620,es q es una fuente,
621,atentos grafiteros,
622,cuando le calculan para que estn bandalizados y abandonados,
623,mejor que pongan botes de basura por todo reforma,2.0
624,sinlo hubieran hecho desde el principio para hoy no se vera bonito qu es lo que quieren aparentar no es para nosotros es para quedar bien con las visitas y vivo en esta zona,
625,y afuera van a cobrar,
626,,
627,pero deberan dejarlos para siempre y poner ms en sonas especficas de barri tambin,
628,mejor que pongan camaras,
629,que compren medicinas x qu luego no hay en el seguro ni para la presin,
630,esos candelabros me recuerdan a casa de nuevo rico no importa nada ms que los garigoles y lo dorado barato algo fuera de lugar y con mal gusto,
631,mmm,
632,me da risa con goteras y las calles se inundan difcil de creer,
633,,
634,solo faltan que pongan uso exclusivo para turistas,
635,y dice la presidenta que somos primer mundo me da risa,
636,,
637,y no hay enseres en el ims,
638,har mis cruces de caca,
639,nada les parece,
640,y la pinturita morada,
641,porque no empiezan a comprar medicamentos para la nueva pandemia que se va venir gracias a este mundial,
642,exactamente que arregle mejor las calles banquetas drenajes ya que el gobierno tiene el poder y el dinero,
643,prximamente,
644,cmo siempre este gobierno gastando en frivolidades,
645,mara aguilera,
646,nmmn arreglen el sistema de drenaje q se tapa bien feo me da risa,2.0
647,cunto iremos a pagar por sus caprichos todo est subiendo de precio,
648,ni el reloj que es necesario existe,
649,,
650,la gente no entiende que no entiende y aparte no cuidan nada,
651,queremos mantenimiento no adornos,
652,hay que saborearlos pintarlos etc,
653,si no van a estar a tiempo ya de mnimo que las terminen,
654,me avisan como quedan despus del mundial,2.0
655,en eso gastan los impuestos,
656,no que ya esta,
658,es un asco el govierno,
659,djanos con esos pequeos momentos de finura porfavor,
660,mejor q tapen los baches,
661,es como cuando me pedan recoger mi cuarto y aventaba toda la ropa al ropero para que no se viera tan mal,
662,ya vi a los habitantes de calle durmiendo ahi,
663,quin los habr licitado cunto van a costar,
664,no se si llorar o rer,
665,todo hace juego,
666,gastaron en embellecer y no hay trenes,
667,me da risa ese vdeo est bueno es pura estampa nada ms,
668,general anaya est muy lento en remodelacin y es un caos porque hay que buscar la salida,
669,excepto que no remodelaron solo redecoraron,
670,bienvenida a la cuarta transformacin,
671,ay mi mxico todo a ltima hora y solo por encimita,
672,ningn chile les embona,
673,exacto,
674,lo que urge son botes para basura,
675,la 4t va,
676,solo es para el mundial ya despus o los quitan o ya no sirven,3.0
677,esas filtracines ya son muy dificil,
678,y esos baos si tendrn agua,
679,es que la prioridad era la elegancia de francia aunque se caiga el techo o llueva en las estaciones a la mejor ms all de eso su visin es que tenga un toque romntico con lluvia es bromis pero si deberan de arreglar lo ms importante en vez de los candelabros,
680,,
681,justo as esta en la linea 7 estacin ro san joaqun ya est muy pintado por dentro pero en el techo las goteras hay hasta cartones en el piso para que absorban el agua pero muy pintado todo y las escaleras elctricas sin funcionar ver para creer,
682,dnde donde para ir a ensuciarlo y no bajarle al bao,
683,al intentar dar una buena impresin van hacer completamente lo contrario,
684,remodelacin esttica solamente para controlar esas goteras imaginen el tipo de trabajo que tienen que hacer y esa zona es muy difcil de tratar ya que con temblores el hundimiento y el paso de el tiempo es normal que se hagan,
685,en un vdeo anterior decan que nada nos embona y no es eso es el hecho de que hay cosas que son necesarias y no son atendidas es querer aparentar algo que no,
686,,
687,volten a la comunidad estudiantil,
688,justo puro arreglo esttico pero vean todas las goteras que se hacen cuanto de cuarteados estn las escaleras,
689,ya se abri una carpeta de investigacin de que pas ah se necesitan pruebas v,
690,yo creo que si pintan de morado las goteras se soluciona,
691,que pongan de esos en ecatepec,
692,porqu no arreglar los baches,
693,cuantos miles de millones van a costar,
695,trabajos al vapor no hay planeacin porque rayos no se anticipacin,
696,que esperaban,
697,si wey como si los equipos fueran a jugar en el metro,
698,exactamente prioridad a lo realmente importante,
699,,
700,para si hay presupuesto pero para tratamiento oncologico no wow,
701,y ya los rayaron,
702,no les arreglen nada la gente no sabe cuidar,
703,a la gente nunca le das gusto,
704,puras jaladas,
705,baos que estarn cerrados despus del mundial y en un ao estarn inutilizables,2.0
706,es lo q sucede cuando solo echan pintura para cubrir defectos es como querer tapar el sol con un dedo,
707,as qued tacubaya,
708,van a quedar bien cagados y bien tapados,
709,claudia sheinbaum pardo,
710,y ese backroom,
711,pues el gobierno nunca acta a tiempo no me sorprende que quisieran hacerlo 6 meses antes del mundial,
712,,
713,qu bueno que todo eso se va a ver a nivel mundial,
714,weeeeey est bien exactamente para eso para nesecidades de las personas y espero que si cobren aqu tiene que ver mucho la educacin del hogar,
715,y el estado vlv no mms,
716,we juran que el gobierno debe de estar con cmara de vigilancia buscando el mnimo detalles de cualquier cosa para repararlo en segundos jajajajajaj,
717,,
718,ay que bueno porque yo siempre me ando haciendo popis y es bien difcil encontrar donde o quien te dej entrar al fin alguien pens en nosotros los cagones,
719,a nosotros los viejos ya no nos gusta nada,
720,estudie en inglaterra y djame decirte que esa filtracin no es nada comparado con las inundaciones de por all,
721,el cdigo de vestimenta,
722,gobierno sonso,
723,ese tono va acord con mi stiker,
724,y se va a venir todo abajo en la primer lluvia,
725,pinche metro wey,
726,muy al estilo de de morena,
727,jjj no mmm,
728,en europa ya hay de esos si se pudo ocupar en otros factores pero a la larga si lo podremos aprovechar en paris y berln hay y se limpian solos creo que sencillamente no sabemos cmo sirven pero si ayudan y no no son gratuitos,
729,ni al caso esos candelabros en el metro son para una edificacin colonial o algo donde reslmente luzcan de acuerdo a cierto tipo de arquitectura o edificacio pero en el metro,
730,est de lujo,
731,otra que nada le embona,
732,mejor me ro,
733,me da risa chula imagen para los 3 turistas que vendrn,
734,,
735,por fin,
736,toodo el desmadr3 por solo 5 partidos de fut,
737,pongan botes de basura que no ha en ningn lado mejor,
738,o que la cancin nada t envona,
739,eso le da un toque vintage,
740,est bien ambientado en los 1800 quien tena buen drenaje,
741,,
742,,
743,el colmo,
744,te informo el metro no es campo de ftbol porque tiene que estar listo,
745,falta mantenimiento hay muchas goteras,
746,hay que aceptar que no hay presupuesto para gotera y pintura lo ilogico de esta administracin,
747,tres das despus todo pintado me da risa donde anda esos crack,
748,ya nada nas da risa me da risa,
749,exacto por apariencia,
750,les fall un poquito la imagen queran dar el gatazo de una estacin en mosc mejor hubieran intentado copiar una estacin de new york para eso no hace falta presupuesto y pudieron haber presentado una estacin estilo primersimo mundo,
752,se abrir de inmediato una carpeta de investigacin,
753,es que no sabes son las cascadas que pondrn en prximo ao,
754,y luego en la esquina de la ciudadela ya vi el crujin me da risa,
755,pasando el mundial los quitan slo es para aparentar,
756,gobierno de la ciudad de mxico,
757,si no les gusta que no se suban,
758,me da risa,
759,buena idea pero estoy segura que estarn psimos porque no tendrn mantenimiento,
761,que est listo en el momento que sea el mundial es un buen pretexto para arreglarlo y que bueno,
762,ac decimos te dan atole con el dedo,
763,que va a pasar despus quien les va a dar mantenimiento,
764,,
765,,
766,ah ca y las goteras son el plus o qu,
767,ya van a estrenar casa las personas de la calle,
768,deberan tapar baches si quieren quedar bien,
769,los candelabros iluminan bien la goteras,
770,que iglesia es,
771,que pongan uno por mi casa porque la gente va a mear y cagar afuera de mi puerta,
772,puro impuestos de los trabajadores q brbaros pero en fin,
773,baos pblicos que cobran jjn,
774,confirmo las goteras quedaron intactas,
775,esos candelabros son lo mas intiles de la vida,
776,mmm a ver cunto duran la verdad,
777,que es estooooooo,
778,,
779,y si mejor verifican la falta de agua en ao,
780,,
781,no hay cmaras,
782,los van a instalar pero no los van a poner en servicio,
783,exacto el peor gobierno que he vivido,
784,mejor que pongan botes de basura en todos lados hasta en el metro,
785,no lo se luego andas por ah con el topo atorado y sin cambio me entristece,
786,ves que ya no alcanzo el presupuesto para eso era candelabros o techo y el inge lo dejo a la suerte agilas candelabros,
787,ahorita mxico es como nosotros de chiquitos toda la media hora,
788,justo vi en un video como pintaban de morado un edificio en ruinas que ya se estaba cayendo,
789,roma no se construy en un da por algo se empieza para m bellos los candelabros,
790,de tanta gente ni se va a ver,
791,esto es como pegar el retrovisor con cinta canela,
792,debera tambin implementar contenedores grandes de basura para que la gente ya no sea tan cochina y ah depositen su basura,
793,nada les gusta al menos no se quedan el dinero como el prian,
794,perfectos para hacer cruising,
795,es denigrante como el gobierno trata el transporte pblico y eso que es el transporte pblico de la capital del pas,
796,eso es tapar el sol con un dedo,
797,a la gente no la tienes contenta,
798,me da risa y las calles todas madreadas,
799,cuando metern presupuesto para medicamentos en hospitales vlnv,
800,haber super geniocomo detienes esa humedad a esa profundidad y con agua encima,
801,transformacin de 4ta,
802,cuanto van a cobrar por usarlos,
803,es que le falto pintura morada,
804,justo coment en otro video que a ver si su estacin fifi no se hunda con la primera lluvia como el titanic y siiiii,
805,te odio cheinbaun,
806,la neta si da vergenza,
807,y los baches pa cuando,
808,quiero llorar pero tendr que actuar con mis derechos,
809,no saben en qu pedote se metieron,
810,que ponga letrinas o existen los baos pblicos que les cobren 10 dlares,
811,van a terminar vandalizados y por lo regular sin funcionamiento,
812,si investigaras por que pasa eso y por que es casi imposible eliminar las goteras de los metros y digo metros por que pasa en todo el mundo,
813,pintura morada ajokotes y listo,
814,lstima que una vez que se acabe el mundial ni mantenimiento tendrn,2.0
815,al chile que bueno,
816,deberan mejor hacer ms hospitales ya que estn saturados,
817,es para que haga contraste con la arquitectura,
818,que mal,
819,,
820,esas goteras son echas a igualmente para dar el estilo antiguo como si pasaras por un callejn en la lluvia,
821,dar mantenimiento a toda la ciudad de mxico pintar paredes escombrar los jardines limpiar puentes peatonales y vehculares plantar ms rboles afuera de chapultepec donde muchos fueron cortados ahora que fui de visita todo abandonado ya pnganse las pilas,
822,que decepcin ojal hicieran bien las cosas,
823,viva morena,
824,es sistema de humidificacin,
825,gastan en todo menos en lo que se necesita,
826,cmo todo lo que hace la jefa de gobierno y la presidenta,
827,en qatar 2022 faltaba 1 semana para el mundial y todava no haba 2 estadios listos,
828,hay para que ponen eso s van a cobrar cul es el beneficio,
829,para que vergas,
830,no va durar ni 1 ao porque lo van a ensuciar mucho por fuera y lo van a pintar y dudo que lo atiendan y le cambien el agua siempre,
831,disfruten su voto,
832,hay ora en un ao ya no estarn,
833,baos yo veo hoteles,2.0
834,te se est empezando a meter el agua al titanic,
835,las lneas son temticas vi que auditorio parece un toks,
836,somos bendecidos por tenene un medio transporte barato por 5 pesos ya ven los del estado pagan lo triple,
837,nada les embona,
838,y qu tal si te lo suben a 10 pesos,
839,ay que cosa no se si rer o ponerme a llorar por la burla de las autoridades,
840,maquillaje barato del bienestarttt,
841,que con la pintura morada queda,
842,ni un chile les embona deberas,
843,deberas ya no saben ni que hacer,
844,con pintura morada y unos ajolititos quedan,
845,y ya terminaron las obras,
846,las bromas del gobierno,
847,tambin t ni modo que remodelaran en la remodelacin me da risa,
848,es otro gasto intil y lo que necesita la ciudad bien gracias baches y tendran que dejar un polica porque aqu no respetan nada,
849,,
850,que pena cdmx,
851,me da risa eso tambin lo invento tv azteca me da risa,
852,es decoracion no una verdadera remodelacion,
853,para los que se quejan de los baos as seguro es por qu no han visto los baos pblicos de amsterdam me da risa,
854,para que despues estn tomados por la gente en situacin en calle o un foco de infeccin muy intensa hasta se metan la gente hacer crussing,
855,quieren tapar el sol con un dedo,
856,nuevas casas para las personas en situacin de calle,
857,arreglos por ac y todos los defectos de ms cosas cuando,
858,que funcionen los baos del metrobus los elevadores del metro no mames nunca votar de nuevo por morena,
859,por ejemplo seguridad,
860,que horror,
861,pudieron arreglar la ciudad pero no los hospitales ojal que con toda la derrama econmica que se tendr lo del mundial mejoren los servicios pblicos de primera necesidad,
862,,
863,ya como en paris jajaa,
864,si el metro es un asco ahora con los trabajos en pleno servicio peor no compa date una vuelta en ecaterror ah en plaza ecatepec anda del asco en ese tramo y llevan repavimentando un pedazo desde hace 3 semanas,
865,csm,
866,,
867,pero seguimos con baches,
868,y las calles para cuando las pavimentan y la seguridad para cuando,
869,tanta deficiencia en el servicio de transporte que creo que los mismos usuarios estn concientes ya que se debe aplicar el costo real al boleto,
870,y qu,
871,puras mmds,
872,,
873,hoteles gratis,
874,la mayora de gente gasta en cigarros cocas cervezas alcohol fiestas a lo wey y ahorita que somos pais anfitrin y quieren que mxico no se vea tan pichurriento y que ahorre todo,
875,grtalo que es la verdad,
876,si el metro de mty tampoco mxico todo a ltima hora,
877,,
878,falta que arreglen la lnea de barranca del muerto y direccin el rosario tambin est en psimas condiciones,
879,si ubican que solo habr 5 partidos en cdmx 5 de 104 mucha inversin para la expectativa de turistas,
880,quin aprob esa mmd,
881,y tapar los baches no les gusta,
882,se estn gastando ms dinero por hacerlo a las prisas que si bien hubieran empezado hace 8 aos y hubieran hecho mejor trabajo,
883,bro reemplazaron el fokin mrmol por material mas barato y menos duradero quien se qued con todo el mrmol,
884,el problema no son los baos es la gente,
885,exactamente las cosas realmente funcionales estan obsoletas por fuera bonito y al interior una porquera,
886,gastos innecesarios mejor que arreglen las goteras,
887,tranquila reyna esperamos,
888,no eso lo dejaron as porque posteriormente van a grabar las escenas del titanic tranquilos este gobierno piensa en todo,
889,nada les embona no doblada ni enrollada,
890,pero en verdad que no hay visin tiene que estarles explicando todo para llegar a la ambientacin deseada hay que dejar esas filtraciones de agua para utilizar paraguas estilo colonial que por supuesto estarn a la venta en los alrededores de las entradas del metro les falta visin,
891,y si arreglan los vagones del metro,
892,me pregunt cunto habrn costado en realidad esas luminarias porque es muy seguro que alguien se llev muy buena comisin,
893,,
894,perdon falto un poco de pintura morada,
895,yo esperando el metro,
896,y despus de dos meses estarn olvidados y servirn de basurero,
897,ah deberan colocar buna fuente,
898,en medicamentos para el imss para personas con cncer o dems deberan de hacer y no gastar el dinero aparentando mxico es sper woooo,
899,enserio me ests diciendo que todas esas remodelaciones y gasto pblico es para 5 partidos que va a haber pens que era para los usuarios diarios,
900,antes de que arranque el mundial ya no sirven,2.0
901,despierta mxico,
902,tanto dinero que deja el metro a diario y nada de mantemiento vamos bien,
903,si es buena opcin con el dbido mantenimiento desde hace aos lo hubieran instalado,
904,ja ja ja ja ja ja yyojsla lo vean las autoridades y no salgan con que tienen otros datos,
905,no ms gastan dinero a lo tonto hay prioridades,
906,increble,
907,que den ms instrumentos aparatos y medicamentos para hospitales,
908,,
909,hay al ratito van a decir que costo mil de millones para justificar su robo me da risa,
910,pov comienzan a cerrar estaciones estoy segura que seguramente entre semana empezarn a cerrar como lo hacen en fin de semana queque desmadre se hace,
911,esos sern moteles no se agan,
912,comentario,
