comentario,etiquetado_humano,categoria
weeeeey está bien exactamente para eso para nesecidades de las personas y espero que si cobren aquí tiene que ver mucho la educación del hogar,,infraestructura
y el estado vlv no mms,,infraestructura
we juran que el gobierno debe de estar con cámara de vigilancia buscando el mínimo detalles de cualquier cosa para repararlo en segundos jajajajajaj,,infraestructura
ay que bueno porque yo siempre me ando haciendo popis y es bien difícil encontrar donde o quien te dejé entrar al fin alguien pensó en nosotros los cagones,,infraestructura
a nosotros los viejos ya no nos gusta nada,,infraestructura
estudie en inglaterra y déjame decirte que esa filtración no es nada comparado con las inundaciones de por allá,,infraestructura
el código de vestimenta,,infraestructura
gobierno sonso,,infraestructura
ese tono va acordé con mi stiker,,infraestructura
y se va a venir todo abajo en la primer lluvia,,infraestructura
metro wey,,infraestructura
muy al estilo de de morena,,infraestructura
jjj no mmm,,infraestructura
en europa ya hay de esos si se pudo ocupar en otros factores pero a la larga si lo podremos aprovechar en paris y berlín hay y se limpian solos creo que sencillamente no sabemos cómo sirven pero si ayudan y no no son gratuitos,,infraestructura
ni al caso esos candelabros en el metro son para una edificación colonial o algo donde reslmente luzcan de acuerdo a cierto tipo de arquitectura o edificacio pero en el metro,,infraestructura
está de lujo,,infraestructura
otra que nada le embona,,infraestructura
mejor me río,,infraestructura
me da risa chula imagen para los 3 turistas que vendrán,,infraestructura
por fin,,infraestructura
toodo el desmadr3 por solo 5 partidos de fut,,infraestructura
pongan botes de basura que no ha en ningún lado mejor,,infraestructura
o que la canción nada t envona,,infraestructura
eso le da un toque vintage,,infraestructura
está bien ambientado en los 1800 quien tenía buen drenaje,,infraestructura
el colmo,,infraestructura
te informo el metro no es campo de fútbol porque tiene que estar listo,,infraestructura
falta mantenimiento hay muchas goteras,,infraestructura
hay que aceptar que no hay presupuesto para gotera y pintura lo ilogico de esta administración,,infraestructura
tres días después todo pintado me da risa donde anda esos crack,,infraestructura
ya nada nas da risa me da risa,,infraestructura
exacto por apariencia,,infraestructura
les falló un poquito la imagen querían dar el gatazo de una estación en moscú mejor hubieran intentado copiar una estación de new york para eso no hace falta presupuesto y pudieron haber presentado una estación estilo primerísimo mundo,,infraestructura
se abrirá de inmediato una carpeta de investigación,,infraestructura
es que no sabes son las cascadas que pondrán en próximo año,,infraestructura
y luego en la esquina de la ciudadela ya vi el crujin me da risa,,infraestructura
pasando el mundial los quitan sólo es para aparentar,,infraestructura
gobierno de la ciudad de méxico,,infraestructura
si no les gusta que no se suban,,infraestructura
me da risa,,infraestructura
buena idea pero estoy segura que estarán pésimos porque no tendrán mantenimiento,,infraestructura
que esté listo en el momento que sea el mundial es un buen pretexto para arreglarlo y que bueno,,infraestructura
acá decimos te dan atole con el dedo,,infraestructura
que va a pasar después quien les va a dar mantenimiento,,infraestructura
ah ca y las goteras son el plus o qué,,infraestructura
ya van a estrenar casa las personas de la calle,,infraestructura
deberían tapar baches si quieren quedar bien,,infraestructura
los candelabros iluminan bien la goteras,,infraestructura
que iglesia es,,infraestructura
que pongan uno por mi casa porque la gente va a mear y cagar afuera de mi puerta,,infraestructura
puro impuestos de los trabajadores q bárbaros pero en fin,,infraestructura
baños públicos que cobran jjn,,infraestructura
confirmo las goteras quedaron intactas,,infraestructura
esos candelabros son lo mas inútiles de la vida,,infraestructura
mmm a ver cuánto duran la verdad,,infraestructura
que es estooooooo,,infraestructura
y si mejor verifican la falta de agua en ao,,infraestructura
no hay cámaras,,infraestructura
los van a instalar pero no los van a poner en servicio,,infraestructura
exacto el peor gobierno que he vivido,,infraestructura
mejor que pongan botes de basura en todos lados hasta en el metro,,infraestructura
no lo se luego andas por ahí con el topo atorado y sin cambio me entristece,,infraestructura
ves que ya no alcanzo el presupuesto para eso era candelabros o techo y el inge lo dejo a la suerte agilas candelabros,,infraestructura
ahorita méxico es como nosotros de chiquitos toda la media hora,,infraestructura
justo vi en un video como pintaban de morado un edificio en ruinas que ya se estaba cayendo,,infraestructura
roma no se construyó en un día por algo se empieza para mí bellos los candelabros,,infraestructura
de tanta gente ni se va a ver,,infraestructura
esto es como pegar el retrovisor con cinta canela,,infraestructura
debería también implementar contenedores grandes de basura para que la gente ya no sea tan cochina y ahí depositen su basura,,infraestructura
nada les gusta al menos no se quedan el dinero como el prian,,infraestructura
perfectos para hacer cruising,,infraestructura
es denigrante como el gobierno trata el transporte público y eso que es el transporte público de la capital del país,,infraestructura
eso es tapar el sol con un dedo,,infraestructura
a la gente no la tienes contenta,,infraestructura
me da risa y las calles todas madreadas,,infraestructura
cuando meterán presupuesto para medicamentos en hospitales vlnv,,infraestructura
haber super geniocomo detienes esa humedad a esa profundidad y con agua encima,,infraestructura
transformación de 4ta,,infraestructura
cuanto van a cobrar por usarlos,,infraestructura
es que le falto pintura morada,,infraestructura
justo comenté en otro video que a ver si su estación fifi no se hundía con la primera lluvia como el titanic y siiiii,,infraestructura
te odio cheinbaun,,infraestructura
la neta si da vergüenza,,infraestructura
y los baches pa cuando,,infraestructura
quiero llorar pero tendré que actuar con mis derechos,,infraestructura
no saben en qué pedote se metieron,,infraestructura
que ponga letrinas o existen los baños públicos que les cobren 10 dólares,,infraestructura
van a terminar vandalizados y por lo regular sin funcionamiento,,infraestructura
si investigaras por que pasa eso y por que es casi imposible eliminar las goteras de los metros y digo metros por que pasa en todo el mundo,,infraestructura
pintura morada ajokotes y listo,,infraestructura
lástima que una vez que se acabe el mundial ni mantenimiento tendrán,2.0,infraestructura
al chile que bueno,,infraestructura
deberían mejor hacer más hospitales ya que están saturados,,infraestructura
es para que haga contraste con la arquitectura,,infraestructura
que mal,,infraestructura
esas goteras son echas a igualmente para dar el estilo antiguo como si pasaras por un callejón en la lluvia,,infraestructura
dar mantenimiento a toda la ciudad de méxico pintar paredes escombrar los jardines limpiar puentes peatonales y vehículares plantar más árboles afuera de chapultepec donde muchos fueron cortados ahora que fui de visita todo abandonado ya pónganse las pilas,,infraestructura
que decepción ojalá hicieran bien las cosas,,infraestructura
viva morena,,infraestructura
es sistema de humidificación,,infraestructura
gastan en todo menos en lo que se necesita,,infraestructura
cómo todo lo que hace la jefa de gobierno y la presidenta,,infraestructura
en qatar 2022 faltaba 1 semana para el mundial y todavía no había 2 estadios listos,,infraestructura
hay para que ponen eso sí van a cobrar cuál es el beneficio,,infraestructura
para que vergas,,infraestructura
no va durar ni 1 año porque lo van a ensuciar mucho por fuera y lo van a pintar y dudo que lo atiendan y le cambien el agua siempre,,infraestructura
disfruten su voto,,infraestructura
hay ora en un año ya no estarán,,infraestructura
baños yo veo hoteles,2.0,infraestructura
te se está empezando a meter el agua al titanic,,infraestructura
las líneas son temáticas vi que auditorio parece un toks,,infraestructura
somos bendecidos por tenene un medio transporte barato por 5 pesos ya ven los del estado pagan lo triple,,infraestructura
nada les embona,,infraestructura
y qué tal si te lo suben a 10 pesos,,infraestructura
ay que cosa no se si reír o ponerme a llorar por la burla de las autoridades,,infraestructura
maquillaje barato del bienestarttt,,infraestructura
que con la pintura morada queda,,infraestructura
ni un chile les embona deberas,,infraestructura
deberas ya no saben ni que hacer,,infraestructura
con pintura morada y unos ajolititos quedan,,infraestructura
y ya terminaron las obras,,infraestructura
las bromas del gobierno,,infraestructura
también tú ni modo que remodelaran en la remodelación me da risa,,infraestructura
es otro gasto inútil y lo que necesita la ciudad bien gracias baches y tendrían que dejar un policía porque aquí no respetan nada,,infraestructura
que pena cdmx,,infraestructura
me da risa eso también lo invento tv azteca me da risa,,infraestructura
es decoracion no una verdadera remodelacion,,infraestructura
para los que se quejan de los baños así seguro es por qué no han visto los baños públicos de amsterdam me da risa,,infraestructura
para que despues estén tomados por la gente en situación en calle o un foco de infección muy intensa hasta se metan la gente hacer crussing,,infraestructura
quieren tapar el sol con un dedo,,infraestructura
nuevas casas para las personas en situación de calle,,infraestructura
arreglos por acá y todos los defectos de más cosas cuando,,infraestructura
que funcionen los baños del metrobus los elevadores del metro sorprendente nunca votaré de nuevo por morena,,infraestructura
por ejemplo seguridad,,infraestructura
que horror,,infraestructura
pudieron arreglar la ciudad pero no los hospitales ojalá que con toda la derrama económica que se tendrá lo del mundial mejoren los servicios públicos de primera necesidad,,infraestructura
ya como en paris jajaa,,infraestructura
si el metro es un asco ahora con los trabajos en pleno servicio peor no compa date una vuelta en ecaterror ahí en plaza ecatepec anda del asco en ese tramo y llevan repavimentando un pedazo desde hace 3 semanas,,infraestructura
csm,,infraestructura
pero seguimos con baches,,infraestructura
y las calles para cuando las pavimentan y la seguridad para cuando,,infraestructura
tanta deficiencia en el servicio de transporte que creo que los mismos usuarios están concientes ya que se debe aplicar el costo real al boleto,,infraestructura
y qué,,infraestructura
puras mmds,,infraestructura
hoteles gratis,,infraestructura
la mayoría de gente gasta en cigarros cocas cervezas alcohol fiestas a lo wey y ahorita que somos pais anfitrión y quieren que méxico no se vea tan pichurriento y que ahorre todo,,infraestructura
grítalo que es la verdad,,infraestructura
si el metro de mty tampoco méxico todo a última hora,,infraestructura
falta que arreglen la línea de barranca del muerto y dirección el rosario también está en pésimas condiciones,,infraestructura
si ubican que solo habrá 5 partidos en cdmx 5 de 104 mucha inversión para la expectativa de turistas,,infraestructura
quién aprobó esa mmd,,infraestructura
y tapar los baches no les gusta,,infraestructura
se están gastando más dinero por hacerlo a las prisas que si bien hubieran empezado hace 8 años y hubieran hecho mejor trabajo,,infraestructura
bro reemplazaron el fokin mármol por material mas barato y menos duradero quien se quedó con todo el mármol,,infraestructura
el problema no son los baños es la gente,,infraestructura
exactamente las cosas realmente funcionales estan obsoletas por fuera bonito y al interior una porquería,,infraestructura
gastos innecesarios mejor que arreglen las goteras,,infraestructura
tranquila reyna esperamos,,infraestructura
no eso lo dejaron así porque posteriormente van a grabar las escenas del titanic tranquilos este gobierno piensa en todo,,infraestructura
nada les embona no doblada ni enrollada,,infraestructura
pero en verdad que no hay visión tiene que estarles explicando todo para llegar a la ambientación deseada hay que dejar esas filtraciones de agua para utilizar paraguas estilo colonial que por supuesto estarán a la venta en los alrededores de las entradas del metro les falta visión,,infraestructura
y si arreglan los vagones del metro,,infraestructura
me preguntó cuánto habrán costado en realidad esas luminarias porque es muy seguro que alguien se llevó muy buena comisión,,infraestructura
perdon falto un poco de pintura morada,,infraestructura
yo esperando el metro,,infraestructura
y después de dos meses estarán olvidados y servirán de basurero,,infraestructura
ahí deberían colocar buna fuente,,infraestructura
en medicamentos para el imss para personas con cáncer o demás deberían de hacer y no gastar el dinero aparentando méxico es súper woooo,,infraestructura
enserio me estás diciendo que todas esas remodelaciones y gasto público es para 5 partidos que va a haber pensé que era para los usuarios diarios,,infraestructura
antes de que arranque el mundial ya no sirven,2.0,infraestructura
despierta méxico,,infraestructura
tanto dinero que deja el metro a diario y nada de mantemiento vamos bien,,infraestructura
si es buena opción con el débido mantenimiento desde hace años lo hubieran instalado,,infraestructura
ja ja ja ja ja ja yyojsla lo vean las autoridades y no salgan con que tienen otros datos,,infraestructura
no más gastan dinero a lo tonto hay prioridades,,infraestructura
increíble,,infraestructura
que den más instrumentos aparatos y medicamentos para hospitales,,infraestructura
hay al ratito van a decir que costo mil de millones para justificar su robo me da risa,,infraestructura
pov comienzan a cerrar estaciones estoy segura que seguramente entre semana empezarán a cerrar como lo hacen en fin de semana queque desmadre se hace,,infraestructura
esos serán moteles no se agan,,infraestructura
comentario,,infraestructura
la mayoría de los que saben que fue lo que pasó son parientes amigos y familiares,3.0,seguridad
así deberían de poner seguridad en los hospitales para que no abusen de sus médicos,2.0,seguridad
interactuando,3.0,seguridad
digaselo a peña nieto ascarraga y salinas pliego ellos son los que trajeron el mundial y aceptaron las condiciones de la fifa,3.0,seguridad
se quejan y somos uno de los países que más consume este deporte,4.0,seguridad
me están diciendo que la única razón por la que están haciendo algo en el país es por el mundial que si no fuera por eso seguiriam defendiendo al co que raro no no es el pais que morena nos plantea,3.0,seguridad
que coraje e impotencia debería ser más importante el apoyo a los padres que buscan a sus hijos que el mundial,2.0,seguridad
la neta méxico da miedo es como ir a palestina y esperar que salgas bien,1.0,seguridad
a mí me vale el mundial hay cosas más importantes,2.0,seguridad
que tristeza que para proteger a extranjeros se organizaron tan rápido y para nosotros lo mexicanos llevan tantos sexenios y nomás no,2.0,seguridad
y los que faltan en el mundial,1.0,seguridad
casi 100 000 elementos federales y este gobierno hace nada para acabar con el crimen organizado todo el poder del estado y para que solo les interesa seguir saqueando al país,1.0,seguridad
pues el plan kukulkán ya se debería quedar 365 días no diiiigo,3.0,seguridad
aah mira y al pueblo que se lo lleve la fregada,3.0,seguridad
deberíamos empezar a comentar con stickers de las fichas de lo desaparecidos en las páginas del gobierno,2.0,seguridad
y no le da vergüenza a la presidenta para eso si hay seguridad,3.0,seguridad
exacto hay que tener prioridades hay que comenzar actuar con conciencia,2.0,seguridad
los carteles andas más armados que la policía de méxico,3.0,seguridad
es muy cierto,3.0,seguridad
y no nada más por el mundial ala precidente le vale los desaparecidos prefiere aser conciertos que ayudar ala gente,1.0,seguridad
interactuen que se difunda lo que si importa,3.0,seguridad
irán atacará en pleno mundial acuérdense de este comentario,2.0,seguridad
jajajjaja se parecen a los anillos de seguridad que hacen los narcos raro no me da risa,2.0,seguridad
aquí apoyamos a los papás y mamás buscadores,2.0,seguridad
hay prioridades wue en el mundial viene el bicho,5.0,seguridad
y por que un mes antes y un mes después del mundial por que no hacen ese plan para siempre,3.0,seguridad
nunca nos ha brindado protección a los mexicanos porque a turistas si,2.0,seguridad
que dolor que impotencia es una burla el despilfarro,1.0,seguridad
no queremos mundial queremos seguridad acceso a la educación digna salud digna y a la justicia,1.0,seguridad
y en culiacán también tendremos ese plan,3.0,seguridad
plan no ir a méxico me gusta,1.0,seguridad
si a usa no le quitan el mundial tampoco a mexico,3.0,seguridad
me duele tener que vivir en esta realidad,1.0,seguridad
que impotencia da la situación de mexico me entristece,1.0,seguridad
violencia en méxico y eua en guerra me da risa,1.0,seguridad
que tiene que ver el mundial von el gobierno,3.0,seguridad
duele pero no por eso va a dejar a mas de 30 selecciones sin mundial ya que eso son problemas internos de mexico no es culpa de la fifa ni mucho menos de las otras selecciones,4.0,seguridad
pero que nombrecito me da risa,3.0,seguridad
y si se queda el plan cuculcan para siempre,3.0,seguridad
ojo dijo que protege a extranjeros los que vivimos en el país pues no la pelamos que nos cuidemos nosotros solos dicen,3.0,seguridad
osea si se pueden poner las pilas pero no con nosotros,2.0,seguridad
seguridad para extranjeros y no para los mexicanos me da risa,2.0,seguridad
saludos desde mechico,3.0,seguridad
me da risa los estadios son privados el único beneficio de nosotros son las ventas me da risa,4.0,seguridad
suena como el kukuxklan,3.0,seguridad
que todos sus hijos vuelvan a casa,3.0,seguridad
yo siendo mexicano prefiero que no sea el mundial aquí en méxico,2.0,seguridad
cierren las avenidas allá y en cdm,2.0,seguridad
morena preocupándose por otra gente menos por los mexicanos,1.0,seguridad
por algo dice el dicho al pueblo pan y circo para mantenernos distraidosssss ojalá despierten la gente embobada del futboll y demás,2.0,seguridad
ya no podemos seguir con esto necesitamos justicia,1.0,seguridad
y mientras protegen a los turistas en todos los demás estados vamos a estar desprotegidos,2.0,seguridad
a quien le importa el mundial al final solo se benefician los ricos,1.0,seguridad
no estamos en contra del mundial estamos en contra de que se le dé prioridad a algo que no lo es,3.0,seguridad
osea los mexicanos no tenemos ningún valor para este gobierno solo pueden y quieren proteger a extranjeros,1.0,seguridad
el mundial debería ser solo en canadá pero la fifa es corrupta,2.0,seguridad
y por qué protegen tanto a los extranjeros y nunca a nosotros los del pueblo que somos los que pagamos impuestos,2.0,seguridad
en serio que cancelen el mundial aquí,1.0,seguridad
en argentina también está pasando muchas gente con hambre sin trabajo jubilados con jubilaciones mínimas que ni si quiera les alcanza para comprarse la medicación universidades des financiada ecosistema destruidos a propósito medios de comunicación corruptos fiscales y gobernadores que tapan la corrupción y muerte de gente inocente pero la gente se preocupa por un mundial y que messi juegue en la selección ignorando todo los demás,2.0,seguridad
q va mexico es una sentencia ir,1.0,seguridad
y solo durante el mundial terminando todo regresará a como estaba o peor,2.0,seguridad
wey méxico con aviones f5 ya esos son de museo,3.0,seguridad
que triste que solo lo hacen por este evento y no lo hagan por sus habitantes todos los dias me entristece mucho,2.0,seguridad
que todo el mundo vea lo que vivimos en méxico,3.0,seguridad
y si mejor sacan un plan para proteger a méxico siempre y no solo durante el mundial,3.0,seguridad
si asen eso para un evento deportivo por que no aserlo siempre para seguridad de todos nosotros los mexicanos,3.0,seguridad
pongan subtitulos en inglés para que se haga eco a nivel internacional por favor,3.0,seguridad
es una vergüenza nuestro gobierno,1.0,seguridad
por qué no hacen eso siempre yo desde los 15 años salgo de mi casa con más miedo de la policía que de los delincuentes,1.0,seguridad
que fuerte realidad me entristece,2.0,seguridad
ocultan la verdad,2.0,seguridad
oraleee así deberían de proteger a su pueblo y no solo a los extranjeros,2.0,seguridad
lo más triste del asunto es que por más que luchen para que no haya mundial el gobierno no les va hacer caso van a seguir con el mundial y seguir invirtiendo en el mundial es triste y da rabia,1.0,seguridad
el mundial dará mucho empleo y dinero del turismo así que yo sí estoy de acuerdo con el mundial,5.0,seguridad
por qué si tienen tanto no combaten a los narcos,3.0,seguridad
prefiero seguridad que un stupido mundial de futbol,1.0,seguridad
dios mío,3.0,seguridad
para los 4 partidos del mundial que va haber como que invirtieron de más no,3.0,seguridad
ya no pongan sus fotos ahorita pongalas antes del mundial,3.0,seguridad
justicia mexicanos,3.0,seguridad
prefiero no tener mundial,1.0,seguridad
la mediocridad del gobierno y la borregada no da pa más en fin la justicia no existe ni existirá mientras no se reformen las leyes a favor de las víctimas,1.0,seguridad
cómo apoyo para que se haga eso en la cdmx también,4.0,seguridad
es más seguro ir a jugar a israel o iran que a méxico me da risa mucho,3.0,seguridad
cuándo va a cambiar la historia,3.0,seguridad
prefiero un méxico sin desaparecidos que un mundial espero que puedan encontrarlos y los familiares tengan paz,2.0,seguridad
pero ella jura que todo está bien,3.0,seguridad
que raro que no lo terminaron con la palabra bienestar me da risa,3.0,seguridad
ojalá todos encuentren a sus seres queridos fuerza y suerte,2.0,seguridad
ósea que si tienen el armamento para combatir el narco solo no les importa lo mexicanos,2.0,seguridad
se debe informar que solo sería para el mundial y como objetivo los extranjeros y que después del mundial será como cuando desinstalas una app de celular me da risa,3.0,seguridad
siguen adelante en el poderoso nombre de jesús sigan y pídanle a dios que el sea su guardador,3.0,seguridad
el chiste se cuenta solo este gobierno parece una burla,1.0,seguridad
muyyy triste de verdad me dueles méxico,1.0,seguridad
que coraje meda todo esto sólo hay seguridad porque va a ver mundial me enoja mucho,1.0,seguridad
que lamentable apoyos a las familias afectadas,2.0,seguridad
no queremos mundial queremos un méxico seguro,1.0,seguridad
qué cosas y por el pueblo mexicano no mueven un dedo me enoja mucho,2.0,seguridad
a lo mejor alguien entre mucha gente durante el mundial puede ser que ha visto o conocer a un desaparecido esto ayudará mucho,3.0,seguridad
apoyo total a este movimiento,5.0,seguridad
welcome to jalisco,4.0,seguridad
que feo que se enfoquen en esto en vez de proteger al pueblo,2.0,seguridad
osea que si se puede nomás no quieren,3.0,seguridad
si buscan la ruleta rusa con su seguridad méxico es la opción,2.0,seguridad
seguridad en el país seguridad por un partido de fútbol,3.0,seguridad
seguro harán un trato con los narcos,1.0,seguridad
ku kul kan suena conocido de algo,3.0,seguridad
encontrar a los desaparecidos y subir los sueldos no puede ser que en nuestro país casi un 70 trabajen en la informalidad o sin prestaciones de ley y un 49 de los egresados de universidades se encuentran en desempleo,3.0,seguridad
y cuando termine el mundial regreso a la realidad,3.0,seguridad
a veces no dimensionamos las situaciones hasta que nos pasan no se que sería de mi si alguien de mi familia desaparece y muy bueno de los gobernantes por hacerse pendejos con estos temas,1.0,seguridad
yo también tengo un hijo desaparecido y nadien me a escuchado no ay seguimiento de nada,1.0,seguridad
ojalá se cancele,1.0,seguridad
a veces pienso que lo hacen con sarcasmo para tener muchas vistas,2.0,seguridad
nos hace falta unirnos como sociedad y cuidarnos entre todos,3.0,seguridad
osea que habrá protección para que se pueda jugar al fútbol pero no hay protección para tener una buena calidad de vida,2.0,seguridad
proteger a los mexicanos proteger a los turistas,1.0,seguridad
oye espérate si no estamos en wakanda,3.0,seguridad
todo el mundial va ser en méxico y canadá porque usa no participará por lo que ya saben me da risa mucho,3.0,seguridad
osea que siempre han podido defender a la población les valía madres antes o que,1.0,seguridad
que tristeza me entristece,1.0,seguridad
mientras el gobierno invierte millones en eventos como el mundial de fútbol miles de familias siguen buscando a sus desaparecidos sin apoyo suficiente sin respuestas y sin justicia no puede haber celebración completa en un país donde tantos padres siguen buscando a sus hijos la prioridad debería ser la seguridad la verdad y la dignidad de las víctimas,2.0,seguridad
en día de mundial hay que hacer una marcha por los desaparecidos me entristece,1.0,seguridad
no se que da más miedo que méxico puede o que méxico no quiere,1.0,seguridad
en el parque de la ciudad donde vivo nunca habia visto pegados panfletos de desaparecidos y cuando recién pase y los vi fue un shock se sintió muy triste,1.0,seguridad
es decir que sí pueden combatir la delincuencia pero no lo hacen todos los días me da risa mucho,1.0,seguridad
ósea si pueden y tienen poder solo no quieren,1.0,seguridad
no al mundial matan mujeres todos los días y no las protegen,1.0,seguridad
no ven tv azteca,3.0,seguridad
no al mundial,1.0,seguridad
y por qué 15 días antes y 15 días después por qué no dejarlo así siempre,3.0,seguridad
méxico no necesita tener un mundial para tener toda esa seguridad la necesita siempre para todos los mexicanos que triste ver la realidad del gobierno,1.0,seguridad
dios les de fuerza y les devuelva a sus hijos,2.0,seguridad
proteger a los mismos mexicanos en su país mexicano respuesta negativo,1.0,seguridad
para los que no entienden ojalá nunca les toque buscar un familiar o que sean ellos a los que los tengan que buscar,1.0,seguridad
todos los mexicanos conocemos o sabemos de alguien que está desaparecido o ha sido afectado por el crimen,1.0,seguridad
es que entiendan no están en contra del mundial ni nada sino que están en contra de que se gasten miles de millones de pesos en remodelaciones innecesarias solo para verse bonita para menos del mes mientras no hay dinero para búsquedas de desaparecidos no hay dinero para medicamentos no hay dinero para nada,2.0,seguridad
y la de proteger al pueblo siempre no se la saben,2.0,seguridad
donde se puede donar para que impriman más,3.0,seguridad
no queremos mundial gobierno mediocre queremos seguridad de nuestro país queremos nuestros ecosistemas limpios queremos que no destruyan nuestros ecosistemas y acaben con la naturaleza queremos un país con soberanía,1.0,seguridad
me gusta mucho el fútbol pero ha llegado el momento de que miles de voces sean escuchadas de que todos nos unamos,4.0,seguridad
osea que para el mundial si tienen seguridad pero para el día a día no grande mi país saquenme de aquí,3.0,seguridad
llenen este carrito de super yo empiezo,3.0,seguridad
que miedo me entristece,1.0,seguridad
si tan solo usaran toda esa organización y poder para realmente limpiar y cuidar el país me entristece,1.0,seguridad
necesitamos seguridad no mundial,1.0,seguridad
el sábado fui al centro es una tristeza ver tantos carteles de personas desaparecidas que miedo,1.0,seguridad
no vengan no les crean,1.0,seguridad
no me interesa el mundial aquí me interesa la seguridad de mi pueblo el hambre de mi país,1.0,seguridad
entonces tomaremos la seguridad como privilegio de algunos cuantos me enoja mucho,1.0,seguridad
nos puede des decir de donde sale o que significa kukulcan me suena a cucurrucucu hay méxico,3.0,seguridad
pero dice tu tía claudia que cada vez estamos mejor,2.0,seguridad
lo que me imaginé,3.0,seguridad
osea que si pueden proteger pero no quieren,1.0,seguridad
e lugar de mi dial y trenes busque allude con los desaparesidos,3.0,seguridad
ven que si tenemos la capacidad de controlar la violencia en mexico armamento gente pero nomas les vlvga al gobierno,1.0,seguridad
los policías también roban ojo ahí turistas ojalá no vengan,1.0,seguridad
si hablamos de mexico no confío ni en la policía,1.0,seguridad
se va poner de acuerdo harfuch con los capos con los que tiene acuerdo para que ese mes no hagan nada y van a decir que el plan que propusieron dio resultado me da risa muchisimo,1.0,seguridad
un poco mas y es el plan kukusklan me da risa mucho,3.0,seguridad
por que no posieron eso para acabar con los carteles,1.0,seguridad
hay que cancelar el mundial eso no es importante lo importante es tratar los problemas del país,1.0,seguridad
imaginen esto en sinaloa también,1.0,seguridad
lo chistoso es que esos 3 aviones caza f5 son todos los que tiene la fuerza aérea me da risa,3.0,seguridad
osea hacen de cuidado solo cuando es mundial pero el resto del año q se chinguen el pueblo,2.0,seguridad
de que sirve si les da miedo enfrentar a los delincuentes,1.0,seguridad
igual el mundial mexico no va pasar de cuartos,3.0,seguridad
no protege ni a los ciudadanos que va proteger a los turistas,1.0,seguridad
justicia para los desaparecidos no quiero mundial quiero un mexico seguro,1.0,seguridad
imponer el plan kukulkán en méxico para que acaben con la violencia imponer el plan kukulkán solo para el mundial y atraer extranjeros,3.0,seguridad
lamento mucho su dolor mamitas y papitos me entristece,3.0,seguridad
cómo se notan las prioridades no se dejen que vean lo que realmente importa,2.0,seguridad
mi apoyo desde españa comparto mucha fuerza para las familias,3.0,seguridad
que hermosa campaña no se dejen estamos con ustedes me entristece,4.0,seguridad
gobierno de asco,1.0,seguridad
osea que si se puede reforzar la seguridad interesante,2.0,seguridad
triste realidad de méxico me enoja muchisimo,1.0,seguridad
y la seguridad despues del mundial que cual plan,1.0,seguridad
ellos no deben ser invisibles en el mundia ellos deben ser los mas presentes en el mundial que el mundo vea rosotros de gente que puede ser encontrada gracias a la difusion,2.0,seguridad
duda latinus es independiente o pertenece a alguna televisora,3.0,seguridad
los comentarios ocultos,3.0,seguridad
pero ya están vendidos todos los boletos y la venta de playeras no para y no se diga del álbum que es todo un fenómeno nacional más de 1500 albums vendidos diariamente y 10 mil sobres con las cartitas también,3.0,seguridad
ojalá encuentren a los desaparecidos,3.0,seguridad
dios los bendiga salmos92 10 12 y salmos94 1 23,3.0,seguridad
su mirada,3.0,seguridad
escuchen bien dijeron proteger a los turistas y a los equipos porque los mexicanos no les importamos,1.0,seguridad
el mundial es cada 4 años y desaparecidos hay siempre pueden esperar,2.0,seguridad
de por sí me cae mal el futbol ahora mas,2.0,seguridad
mientras tanto claudia,1.0,seguridad
la tristeza me entristece,1.0,seguridad
y porque no hacen eso siempre pero para todos los mexicanos,2.0,seguridad
ya vimos que si no le beneficia al gobierno no hace nada respecto a la seguridad mientras después que pase la fifa otra ves a números rojos,1.0,seguridad
no al mundial en méxico,1.0,seguridad
ahi vemos que es prioridad para los gobiernos que tristeza,1.0,seguridad
y despues del mundial q nos lleve la muy malo a todos los demas,1.0,seguridad
me da risa no tenemos ese tipo de aviones me da risa mucho,3.0,seguridad
no al mundial en mexico para proteger extrangeros hacen todo y nosotros,1.0,seguridad
se jactan presumen de tanta seguridad y saben perfectamente que nada esta bien en éste país ojalá no hubiera mundial,1.0,seguridad
ojala cancelen el mundial,1.0,seguridad
no queremos mundial,1.0,seguridad
seguridad para la gente del mencho seguridad para extranjeros y para cuándo la seguridad para los ciudadanos bueno igual se les olvida un poquito cuando tienen que ejercer sus derechos y ver a shakira,,seguridad
deberían cancelar el mundial en méxico por seguridad no deberían hacerlo acá,,seguridad
para mí que gana portugal,,seguridad
ojalá los encuentren dios los bendiga,,seguridad
no al mundial,,seguridad
el gobierno que hace para el mundial si el mundial lo hace la fifa,,seguridad
qué pena que sea para cuidar a los turistas y no lo hagan siempre para cuidar a los mexicanos,,seguridad
apoyo la manifestación el día del mundial,,seguridad
porque no entienden que no se trata de partidos políticos ni gobiernos se trata de quien gobierna cada entidad quien este en la presidencia es lo mismo hará lo que pueda en su gobierno pero los que son los gobernadores delegados o presidentes de cada entidad son los que hacen lo que quieren,,seguridad
el dinero y el football es más importante que las vidas de la gente todo mundo lo sabe,,seguridad
el mundial es un tape de ojo pará lo que se viene todo lo que roba el gobierno,,seguridad
ni regalado,,seguridad
todo eso para proteger extranjeros pero a los mexicanos que nos lleve la chgda me da risa,,seguridad
ojalá cancelen el mundial,,seguridad
que tristeza,,seguridad
ya ven que no terminan con el narco nada más porqué no quieren,,seguridad
osea se preocupan por todos menos por nosotros los mexicanos me entristece,,seguridad
