comentario,categoria,etiqueta_estimada,etiqueta_real,confianza
volten a la comunidad estudiantil,infraestructura,1,,0.4519084692001343
justo puro arreglo estético pero vean todas las goteras que se hacen cuanto de cuarteados están las escaleras,infraestructura,4,,0.7630691528320312
ya se abrió una carpeta de investigación de que pasó ahí se necesitan pruebas v,infraestructura,3,,0.38814643025398254
yo creo que si pintan de morado las goteras se soluciona,infraestructura,3,,0.48259204626083374
que pongan de esos en ecatepec,infraestructura,3,,0.4855135977268219
porqué no arreglar los baches,infraestructura,2,,0.5376993417739868
cuantos miles de millones van a costar,infraestructura,3,,0.4245113432407379
trabajos al vapor no hay planeación porque rayos no se anticipación,infraestructura,2,,0.3912400007247925
que esperaban,infraestructura,3,,0.49765363335609436
si wey como si los equipos fueran a jugar en el metro,infraestructura,3,,0.4814339876174927
exactamente prioridad a lo realmente importante,infraestructura,5,,0.31119951605796814
para si hay presupuesto pero para tratamiento oncologico no wow,infraestructura,2,,0.32734405994415283
y ya los rayaron,infraestructura,2,,0.5531130433082581
no les arreglen nada la gente no sabe cuidar,infraestructura,1,,0.8156232237815857
a la gente nunca le das gusto,infraestructura,1,,0.725216269493103
puras jaladas,infraestructura,2,,0.5928076505661011
baños que estarán cerrados después del mundial y en un año estarán inutilizables,infraestructura,2,2.0,0.5913518071174622
es lo q sucede cuando solo echan pintura para cubrir defectos es como querer tapar el sol con un dedo,infraestructura,2,,0.4125162959098816
así quedó tacubaya,infraestructura,3,,0.5378328561782837
van a quedar bien cagados y bien tapados,infraestructura,2,,0.47532591223716736
claudia sheinbaum pardo,infraestructura,3,,0.435168981552124
y ese backroom,infraestructura,3,,0.5244538187980652
pues el gobierno nunca actúa a tiempo no me sorprende que quisieran hacerlo 6 meses antes del mundial,infraestructura,1,,0.7931651473045349
qué bueno que todo eso se va a ver a nivel mundial,infraestructura,3,,0.5367181897163391
weeeeey está bien exactamente para eso para nesecidades de las personas y espero que si cobren aquí tiene que ver mucho la educación del hogar,infraestructura,2,,0.42853933572769165
y el estado vlv no mms,infraestructura,2,,0.4847259521484375
we juran que el gobierno debe de estar con cámara de vigilancia buscando el mínimo detalles de cualquier cosa para repararlo en segundos jajajajajaj,infraestructura,1,,0.6195647716522217
ay que bueno porque yo siempre me ando haciendo popis y es bien difícil encontrar donde o quien te dejé entrar al fin alguien pensó en nosotros los cagones,infraestructura,3,,0.4344055652618408
a nosotros los viejos ya no nos gusta nada,infraestructura,2,,0.537413477897644
estudie en inglaterra y déjame decirte que esa filtración no es nada comparado con las inundaciones de por allá,infraestructura,2,,0.5347232818603516
el código de vestimenta,infraestructura,3,,0.3579474687576294
gobierno sonso,infraestructura,3,,0.33901774883270264
ese tono va acordé con mi stiker,infraestructura,3,,0.43139320611953735
y se va a venir todo abajo en la primer lluvia,infraestructura,2,,0.5463955998420715
metro wey,infraestructura,3,,0.39996621012687683
muy al estilo de de morena,infraestructura,2,,0.5100125670433044
jjj no mmm,infraestructura,3,,0.42252740263938904
en europa ya hay de esos si se pudo ocupar en otros factores pero a la larga si lo podremos aprovechar en paris y berlín hay y se limpian solos creo que sencillamente no sabemos cómo sirven pero si ayudan y no no son gratuitos,infraestructura,4,,0.509848952293396
ni al caso esos candelabros en el metro son para una edificación colonial o algo donde reslmente luzcan de acuerdo a cierto tipo de arquitectura o edificacio pero en el metro,infraestructura,2,,0.5182754993438721
está de lujo,infraestructura,3,,0.41755932569503784
otra que nada le embona,infraestructura,3,,0.4985850751399994
mejor me río,infraestructura,2,,0.5234442949295044
me da risa chula imagen para los 3 turistas que vendrán,infraestructura,3,,0.4664103388786316
por fin,infraestructura,3,,0.4610356390476227
toodo el desmadr3 por solo 5 partidos de fut,infraestructura,2,,0.4866117238998413
pongan botes de basura que no ha en ningún lado mejor,infraestructura,2,,0.6101382970809937
o que la canción nada t envona,infraestructura,3,,0.49063199758529663
eso le da un toque vintage,infraestructura,4,,0.6448318958282471
está bien ambientado en los 1800 quien tenía buen drenaje,infraestructura,4,,0.7004270553588867
el colmo,infraestructura,1,,0.39169856905937195
te informo el metro no es campo de fútbol porque tiene que estar listo,infraestructura,2,,0.44847795367240906
falta mantenimiento hay muchas goteras,infraestructura,2,,0.543515145778656
hay que aceptar que no hay presupuesto para gotera y pintura lo ilogico de esta administración,infraestructura,1,,0.5789139270782471
tres días después todo pintado me da risa donde anda esos crack,infraestructura,2,,0.5020796656608582
ya nada nas da risa me da risa,infraestructura,3,,0.49295005202293396
exacto por apariencia,infraestructura,3,,0.4048307538032532
les falló un poquito la imagen querían dar el gatazo de una estación en moscú mejor hubieran intentado copiar una estación de new york para eso no hace falta presupuesto y pudieron haber presentado una estación estilo primerísimo mundo,infraestructura,2,,0.5067553520202637
se abrirá de inmediato una carpeta de investigación,infraestructura,3,,0.3970695734024048
es que no sabes son las cascadas que pondrán en próximo año,infraestructura,3,,0.4331825077533722
y luego en la esquina de la ciudadela ya vi el crujin me da risa,infraestructura,2,,0.5552785992622375
pasando el mundial los quitan sólo es para aparentar,infraestructura,3,,0.5036258697509766
gobierno de la ciudad de méxico,infraestructura,3,,0.347297340631485
si no les gusta que no se suban,infraestructura,2,,0.5905289053916931
me da risa,infraestructura,3,,0.5177319049835205
buena idea pero estoy segura que estarán pésimos porque no tendrán mantenimiento,infraestructura,2,,0.47616660594940186
que esté listo en el momento que sea el mundial es un buen pretexto para arreglarlo y que bueno,infraestructura,4,,0.3989390432834625
acá decimos te dan atole con el dedo,infraestructura,2,,0.489576131105423
que va a pasar después quien les va a dar mantenimiento,infraestructura,3,,0.417057603597641
ah ca y las goteras son el plus o qué,infraestructura,3,,0.6295874714851379
ya van a estrenar casa las personas de la calle,infraestructura,3,,0.46035242080688477
deberían tapar baches si quieren quedar bien,infraestructura,2,,0.5896945595741272
los candelabros iluminan bien la goteras,infraestructura,4,,0.6909494996070862
que iglesia es,infraestructura,3,,0.5725808143615723
que pongan uno por mi casa porque la gente va a mear y cagar afuera de mi puerta,infraestructura,3,,0.5112597942352295
puro impuestos de los trabajadores q bárbaros pero en fin,infraestructura,3,,0.3272934556007385
baños públicos que cobran jjn,infraestructura,2,,0.4904438257217407
confirmo las goteras quedaron intactas,infraestructura,2,,0.5066987872123718
esos candelabros son lo mas inútiles de la vida,infraestructura,2,,0.5030007362365723
mmm a ver cuánto duran la verdad,infraestructura,3,,0.5987299680709839
que es estooooooo,infraestructura,2,,0.4409767985343933
y si mejor verifican la falta de agua en ao,infraestructura,2,,0.5202601552009583
no hay cámaras,infraestructura,2,,0.413655549287796
los van a instalar pero no los van a poner en servicio,infraestructura,2,,0.4715139865875244
exacto el peor gobierno que he vivido,infraestructura,1,,0.9866848587989807
mejor que pongan botes de basura en todos lados hasta en el metro,infraestructura,2,,0.574347734451294
no lo se luego andas por ahí con el topo atorado y sin cambio me entristece,infraestructura,2,,0.5767862200737
ves que ya no alcanzo el presupuesto para eso era candelabros o techo y el inge lo dejo a la suerte agilas candelabros,infraestructura,2,,0.562186062335968
ahorita méxico es como nosotros de chiquitos toda la media hora,infraestructura,3,,0.4502348005771637
justo vi en un video como pintaban de morado un edificio en ruinas que ya se estaba cayendo,infraestructura,2,,0.4869164824485779
roma no se construyó en un día por algo se empieza para mí bellos los candelabros,infraestructura,2,,0.4757065773010254
de tanta gente ni se va a ver,infraestructura,1,,0.693941593170166
esto es como pegar el retrovisor con cinta canela,infraestructura,2,,0.4175114631652832
debería también implementar contenedores grandes de basura para que la gente ya no sea tan cochina y ahí depositen su basura,infraestructura,2,,0.6066154837608337
nada les gusta al menos no se quedan el dinero como el prian,infraestructura,1,,0.8555667400360107
perfectos para hacer cruising,infraestructura,5,,0.9295437335968018
es denigrante como el gobierno trata el transporte público y eso que es el transporte público de la capital del país,infraestructura,1,,0.9101285934448242
eso es tapar el sol con un dedo,infraestructura,3,,0.47125667333602905
a la gente no la tienes contenta,infraestructura,1,,0.633357048034668
me da risa y las calles todas madreadas,infraestructura,2,,0.5541657209396362
cuando meterán presupuesto para medicamentos en hospitales vlnv,infraestructura,2,,0.4978937804698944
haber super geniocomo detienes esa humedad a esa profundidad y con agua encima,infraestructura,2,,0.45970430970191956
transformación de 4ta,infraestructura,3,,0.35773321986198425
cuanto van a cobrar por usarlos,infraestructura,3,,0.3773745894432068
es que le falto pintura morada,infraestructura,3,,0.45517757534980774
justo comenté en otro video que a ver si su estación fifi no se hundía con la primera lluvia como el titanic y siiiii,infraestructura,3,,0.46198657155036926
te odio cheinbaun,infraestructura,1,,0.7953720092773438
la neta si da vergüenza,infraestructura,2,,0.5276867747306824
y los baches pa cuando,infraestructura,2,,0.5959644317626953
quiero llorar pero tendré que actuar con mis derechos,infraestructura,1,,0.5178182125091553
no saben en qué pedote se metieron,infraestructura,2,,0.5088196396827698
que ponga letrinas o existen los baños públicos que les cobren 10 dólares,infraestructura,2,,0.4895218014717102
van a terminar vandalizados y por lo regular sin funcionamiento,infraestructura,2,,0.47925207018852234
si investigaras por que pasa eso y por que es casi imposible eliminar las goteras de los metros y digo metros por que pasa en todo el mundo,infraestructura,3,,0.3966037631034851
pintura morada ajokotes y listo,infraestructura,2,,0.5604361295700073
lástima que una vez que se acabe el mundial ni mantenimiento tendrán,infraestructura,2,2.0,0.4886467158794403
al chile que bueno,infraestructura,3,,0.5592394471168518
deberían mejor hacer más hospitales ya que están saturados,infraestructura,2,,0.6884138584136963
es para que haga contraste con la arquitectura,infraestructura,3,,0.5372716784477234
que mal,infraestructura,1,,0.5719465613365173
esas goteras son echas a igualmente para dar el estilo antiguo como si pasaras por un callejón en la lluvia,infraestructura,2,,0.5982239842414856
dar mantenimiento a toda la ciudad de méxico pintar paredes escombrar los jardines limpiar puentes peatonales y vehículares plantar más árboles afuera de chapultepec donde muchos fueron cortados ahora que fui de visita todo abandonado ya pónganse las pilas,infraestructura,2,,0.5256004333496094
que decepción ojalá hicieran bien las cosas,infraestructura,1,,0.642780601978302
viva morena,infraestructura,1,,0.818043053150177
es sistema de humidificación,infraestructura,3,,0.40285253524780273
gastan en todo menos en lo que se necesita,infraestructura,2,,0.596420168876648
cómo todo lo que hace la jefa de gobierno y la presidenta,infraestructura,1,,0.37310072779655457
en qatar 2022 faltaba 1 semana para el mundial y todavía no había 2 estadios listos,infraestructura,3,,0.396139532327652
hay para que ponen eso sí van a cobrar cuál es el beneficio,infraestructura,2,,0.33267146348953247
para que vergas,infraestructura,2,,0.4896785616874695
no va durar ni 1 año porque lo van a ensuciar mucho por fuera y lo van a pintar y dudo que lo atiendan y le cambien el agua siempre,infraestructura,2,,0.6559846997261047
disfruten su voto,infraestructura,3,,0.40187835693359375
hay ora en un año ya no estarán,infraestructura,1,,0.4634171724319458
baños yo veo hoteles,infraestructura,3,2.0,0.5128417015075684
te se está empezando a meter el agua al titanic,infraestructura,2,,0.5547314286231995
las líneas son temáticas vi que auditorio parece un toks,infraestructura,2,,0.41986849904060364
somos bendecidos por tenene un medio transporte barato por 5 pesos ya ven los del estado pagan lo triple,infraestructura,3,,0.45539677143096924
nada les embona,infraestructura,4,,0.4581758975982666
y qué tal si te lo suben a 10 pesos,infraestructura,3,,0.6255001425743103
ay que cosa no se si reír o ponerme a llorar por la burla de las autoridades,infraestructura,1,,0.8667964339256287
maquillaje barato del bienestarttt,infraestructura,3,,0.4306091070175171
que con la pintura morada queda,infraestructura,2,,0.4889454245567322
ni un chile les embona deberas,infraestructura,3,,0.43174347281455994
deberas ya no saben ni que hacer,infraestructura,1,,0.9173535108566284
con pintura morada y unos ajolititos quedan,infraestructura,2,,0.490984171628952
y ya terminaron las obras,infraestructura,2,,0.4723711609840393
las bromas del gobierno,infraestructura,1,,0.5936741828918457
también tú ni modo que remodelaran en la remodelación me da risa,infraestructura,2,,0.42225751280784607
es otro gasto inútil y lo que necesita la ciudad bien gracias baches y tendrían que dejar un policía porque aquí no respetan nada,infraestructura,1,,0.9295262098312378
que pena cdmx,infraestructura,1,,0.4380330443382263
me da risa eso también lo invento tv azteca me da risa,infraestructura,3,,0.5249701738357544
es decoracion no una verdadera remodelacion,infraestructura,2,,0.5535590052604675
para los que se quejan de los baños así seguro es por qué no han visto los baños públicos de amsterdam me da risa,infraestructura,2,,0.4536997377872467
para que despues estén tomados por la gente en situación en calle o un foco de infección muy intensa hasta se metan la gente hacer crussing,infraestructura,2,,0.5321300029754639
quieren tapar el sol con un dedo,infraestructura,2,,0.5417420864105225
nuevas casas para las personas en situación de calle,infraestructura,4,,0.3611180782318115
arreglos por acá y todos los defectos de más cosas cuando,infraestructura,2,,0.5700273513793945
que funcionen los baños del metrobus los elevadores del metro sorprendente nunca votaré de nuevo por morena,infraestructura,1,,0.7162359952926636
por ejemplo seguridad,infraestructura,3,,0.4444761872291565
que horror,infraestructura,1,,0.8812278509140015
pudieron arreglar la ciudad pero no los hospitales ojalá que con toda la derrama económica que se tendrá lo del mundial mejoren los servicios públicos de primera necesidad,infraestructura,2,,0.5447902083396912
ya como en paris jajaa,infraestructura,3,,0.5635092854499817
si el metro es un asco ahora con los trabajos en pleno servicio peor no compa date una vuelta en ecaterror ahí en plaza ecatepec anda del asco en ese tramo y llevan repavimentando un pedazo desde hace 3 semanas,infraestructura,2,,0.589116632938385
csm,infraestructura,3,,0.3630407750606537
pero seguimos con baches,infraestructura,2,,0.42737096548080444
y las calles para cuando las pavimentan y la seguridad para cuando,infraestructura,3,,0.43878990411758423
tanta deficiencia en el servicio de transporte que creo que los mismos usuarios están concientes ya que se debe aplicar el costo real al boleto,infraestructura,1,,0.632946789264679
y qué,infraestructura,3,,0.6202695369720459
puras mmds,infraestructura,2,,0.4470956027507782
hoteles gratis,infraestructura,5,,0.5209268927574158
la mayoría de gente gasta en cigarros cocas cervezas alcohol fiestas a lo wey y ahorita que somos pais anfitrión y quieren que méxico no se vea tan pichurriento y que ahorre todo,infraestructura,1,,0.6130377650260925
grítalo que es la verdad,infraestructura,3,,0.38278722763061523
si el metro de mty tampoco méxico todo a última hora,infraestructura,3,,0.44782644510269165
falta que arreglen la línea de barranca del muerto y dirección el rosario también está en pésimas condiciones,infraestructura,1,,0.8382163047790527
si ubican que solo habrá 5 partidos en cdmx 5 de 104 mucha inversión para la expectativa de turistas,infraestructura,3,,0.3395444452762604
quién aprobó esa mmd,infraestructura,3,,0.4046649932861328
y tapar los baches no les gusta,infraestructura,2,,0.5841841101646423
se están gastando más dinero por hacerlo a las prisas que si bien hubieran empezado hace 8 años y hubieran hecho mejor trabajo,infraestructura,2,,0.6847158074378967
bro reemplazaron el fokin mármol por material mas barato y menos duradero quien se quedó con todo el mármol,infraestructura,2,,0.5276700258255005
el problema no son los baños es la gente,infraestructura,2,,0.44418081641197205
exactamente las cosas realmente funcionales estan obsoletas por fuera bonito y al interior una porquería,infraestructura,2,,0.5296606421470642
gastos innecesarios mejor que arreglen las goteras,infraestructura,1,,0.6631659865379333
tranquila reyna esperamos,infraestructura,3,,0.39460301399230957
no eso lo dejaron así porque posteriormente van a grabar las escenas del titanic tranquilos este gobierno piensa en todo,infraestructura,1,,0.4037778377532959
nada les embona no doblada ni enrollada,infraestructura,4,,0.3564220070838928
pero en verdad que no hay visión tiene que estarles explicando todo para llegar a la ambientación deseada hay que dejar esas filtraciones de agua para utilizar paraguas estilo colonial que por supuesto estarán a la venta en los alrededores de las entradas del metro les falta visión,infraestructura,2,,0.4277966618537903
y si arreglan los vagones del metro,infraestructura,3,,0.4858035445213318
me preguntó cuánto habrán costado en realidad esas luminarias porque es muy seguro que alguien se llevó muy buena comisión,infraestructura,2,,0.3861454129219055
perdon falto un poco de pintura morada,infraestructura,2,,0.528548002243042
yo esperando el metro,infraestructura,3,,0.5238426923751831
y después de dos meses estarán olvidados y servirán de basurero,infraestructura,1,,0.49297404289245605
ahí deberían colocar buna fuente,infraestructura,2,,0.5020011067390442
en medicamentos para el imss para personas con cáncer o demás deberían de hacer y no gastar el dinero aparentando méxico es súper woooo,infraestructura,1,,0.5475999712944031
enserio me estás diciendo que todas esas remodelaciones y gasto público es para 5 partidos que va a haber pensé que era para los usuarios diarios,infraestructura,1,,0.4366741478443146
antes de que arranque el mundial ya no sirven,infraestructura,1,2.0,0.6600906848907471
despierta méxico,infraestructura,1,,0.7146531939506531
tanto dinero que deja el metro a diario y nada de mantemiento vamos bien,infraestructura,2,,0.38837939500808716
si es buena opción con el débido mantenimiento desde hace años lo hubieran instalado,infraestructura,4,,0.463352769613266
ja ja ja ja ja ja yyojsla lo vean las autoridades y no salgan con que tienen otros datos,infraestructura,2,,0.3581664264202118
no más gastan dinero a lo tonto hay prioridades,infraestructura,2,,0.45947834849357605
increíble,infraestructura,1,,0.9092623591423035
que den más instrumentos aparatos y medicamentos para hospitales,infraestructura,2,,0.5591597557067871
hay al ratito van a decir que costo mil de millones para justificar su robo me da risa,infraestructura,1,,0.6208860278129578
pov comienzan a cerrar estaciones estoy segura que seguramente entre semana empezarán a cerrar como lo hacen en fin de semana queque desmadre se hace,infraestructura,2,,0.4892881214618683
esos serán moteles no se agan,infraestructura,3,,0.43506860733032227
comentario,infraestructura,3,,0.4933284819126129
la mayoría de los que saben que fue lo que pasó son parientes amigos y familiares,seguridad,3,3.0,0.4520902931690216
así deberían de poner seguridad en los hospitales para que no abusen de sus médicos,seguridad,2,2.0,0.5827893614768982
interactuando,seguridad,4,3.0,0.44236835837364197
digaselo a peña nieto ascarraga y salinas pliego ellos son los que trajeron el mundial y aceptaron las condiciones de la fifa,seguridad,3,3.0,0.45771217346191406
se quejan y somos uno de los países que más consume este deporte,seguridad,2,4.0,0.5620712041854858
me están diciendo que la única razón por la que están haciendo algo en el país es por el mundial que si no fuera por eso seguiriam defendiendo al co que raro no no es el pais que morena nos plantea,seguridad,4,3.0,0.3727927505970001
que coraje e impotencia debería ser más importante el apoyo a los padres que buscan a sus hijos que el mundial,seguridad,2,2.0,0.47737374901771545
la neta méxico da miedo es como ir a palestina y esperar que salgas bien,seguridad,1,1.0,0.9335684180259705
a mí me vale el mundial hay cosas más importantes,seguridad,3,2.0,0.6287474036216736
que tristeza que para proteger a extranjeros se organizaron tan rápido y para nosotros lo mexicanos llevan tantos sexenios y nomás no,seguridad,1,2.0,0.7398105263710022
y los que faltan en el mundial,seguridad,2,1.0,0.5015655755996704
casi 100 000 elementos federales y este gobierno hace nada para acabar con el crimen organizado todo el poder del estado y para que solo les interesa seguir saqueando al país,seguridad,1,1.0,0.9619808793067932
pues el plan kukulkán ya se debería quedar 365 días no diiiigo,seguridad,3,3.0,0.46132010221481323
aah mira y al pueblo que se lo lleve la fregada,seguridad,2,3.0,0.4639971852302551
deberíamos empezar a comentar con stickers de las fichas de lo desaparecidos en las páginas del gobierno,seguridad,1,2.0,0.7352122664451599
y no le da vergüenza a la presidenta para eso si hay seguridad,seguridad,1,3.0,0.3568664491176605
exacto hay que tener prioridades hay que comenzar actuar con conciencia,seguridad,2,2.0,0.38833239674568176
los carteles andas más armados que la policía de méxico,seguridad,2,3.0,0.5508410334587097
es muy cierto,seguridad,3,3.0,0.6165679693222046
y no nada más por el mundial ala precidente le vale los desaparecidos prefiere aser conciertos que ayudar ala gente,seguridad,1,1.0,0.7528744339942932
interactuen que se difunda lo que si importa,seguridad,3,3.0,0.588966965675354
irán atacará en pleno mundial acuérdense de este comentario,seguridad,1,2.0,0.4897647798061371
jajajjaja se parecen a los anillos de seguridad que hacen los narcos raro no me da risa,seguridad,2,2.0,0.5846374034881592
aquí apoyamos a los papás y mamás buscadores,seguridad,3,2.0,0.39515745639801025
hay prioridades wue en el mundial viene el bicho,seguridad,3,5.0,0.39422595500946045
y por que un mes antes y un mes después del mundial por que no hacen ese plan para siempre,seguridad,2,3.0,0.4424634575843811
nunca nos ha brindado protección a los mexicanos porque a turistas si,seguridad,1,2.0,0.7638767957687378
que dolor que impotencia es una burla el despilfarro,seguridad,1,1.0,0.8730583190917969
no queremos mundial queremos seguridad acceso a la educación digna salud digna y a la justicia,seguridad,1,1.0,0.98630291223526
y en culiacán también tendremos ese plan,seguridad,3,3.0,0.4578629732131958
plan no ir a méxico me gusta,seguridad,1,1.0,0.8255013227462769
si a usa no le quitan el mundial tampoco a mexico,seguridad,1,3.0,0.4834882915019989
me duele tener que vivir en esta realidad,seguridad,1,1.0,0.6745920181274414
que impotencia da la situación de mexico me entristece,seguridad,1,1.0,0.8784316182136536
violencia en méxico y eua en guerra me da risa,seguridad,1,1.0,0.8593006134033203
que tiene que ver el mundial von el gobierno,seguridad,1,3.0,0.7797017693519592
duele pero no por eso va a dejar a mas de 30 selecciones sin mundial ya que eso son problemas internos de mexico no es culpa de la fifa ni mucho menos de las otras selecciones,seguridad,4,4.0,0.8157842755317688
pero que nombrecito me da risa,seguridad,4,3.0,0.4010807275772095
y si se queda el plan cuculcan para siempre,seguridad,2,3.0,0.4651906490325928
ojo dijo que protege a extranjeros los que vivimos en el país pues no la pelamos que nos cuidemos nosotros solos dicen,seguridad,1,3.0,0.42473432421684265
osea si se pueden poner las pilas pero no con nosotros,seguridad,2,2.0,0.5934472680091858
seguridad para extranjeros y no para los mexicanos me da risa,seguridad,1,2.0,0.38747438788414
saludos desde mechico,seguridad,3,3.0,0.413501113653183
me da risa los estadios son privados el único beneficio de nosotros son las ventas me da risa,seguridad,4,4.0,0.861963152885437
suena como el kukuxklan,seguridad,3,3.0,0.5836607217788696
que todos sus hijos vuelvan a casa,seguridad,3,3.0,0.5366630554199219
yo siendo mexicano prefiero que no sea el mundial aquí en méxico,seguridad,1,2.0,0.6773054599761963
cierren las avenidas allá y en cdm,seguridad,2,2.0,0.6581932306289673
morena preocupándose por otra gente menos por los mexicanos,seguridad,1,1.0,0.8098412156105042
por algo dice el dicho al pueblo pan y circo para mantenernos distraidosssss ojalá despierten la gente embobada del futboll y demás,seguridad,2,2.0,0.464231014251709
ya no podemos seguir con esto necesitamos justicia,seguridad,1,1.0,0.9553329944610596
y mientras protegen a los turistas en todos los demás estados vamos a estar desprotegidos,seguridad,1,2.0,0.5667532086372375
a quien le importa el mundial al final solo se benefician los ricos,seguridad,1,1.0,0.41112831234931946
no estamos en contra del mundial estamos en contra de que se le dé prioridad a algo que no lo es,seguridad,2,3.0,0.42345067858695984
osea los mexicanos no tenemos ningún valor para este gobierno solo pueden y quieren proteger a extranjeros,seguridad,1,1.0,0.9703150987625122
el mundial debería ser solo en canadá pero la fifa es corrupta,seguridad,1,2.0,0.6833794713020325
y por qué protegen tanto a los extranjeros y nunca a nosotros los del pueblo que somos los que pagamos impuestos,seguridad,1,2.0,0.5765348672866821
en serio que cancelen el mundial aquí,seguridad,1,1.0,0.9178773760795593
en argentina también está pasando muchas gente con hambre sin trabajo jubilados con jubilaciones mínimas que ni si quiera les alcanza para comprarse la medicación universidades des financiada ecosistema destruidos a propósito medios de comunicación corruptos fiscales y gobernadores que tapan la corrupción y muerte de gente inocente pero la gente se preocupa por un mundial y que messi juegue en la selección ignorando todo los demás,seguridad,1,2.0,0.9622814655303955
q va mexico es una sentencia ir,seguridad,1,1.0,0.7644489407539368
y solo durante el mundial terminando todo regresará a como estaba o peor,seguridad,2,2.0,0.5622587203979492
wey méxico con aviones f5 ya esos son de museo,seguridad,3,3.0,0.3972800374031067
que triste que solo lo hacen por este evento y no lo hagan por sus habitantes todos los dias me entristece mucho,seguridad,1,2.0,0.6360973119735718
que todo el mundo vea lo que vivimos en méxico,seguridad,3,3.0,0.4999372959136963
y si mejor sacan un plan para proteger a méxico siempre y no solo durante el mundial,seguridad,2,3.0,0.4631475508213043
si asen eso para un evento deportivo por que no aserlo siempre para seguridad de todos nosotros los mexicanos,seguridad,2,3.0,0.3472895324230194
pongan subtitulos en inglés para que se haga eco a nivel internacional por favor,seguridad,3,3.0,0.44270676374435425
es una vergüenza nuestro gobierno,seguridad,1,1.0,0.9904718399047852
por qué no hacen eso siempre yo desde los 15 años salgo de mi casa con más miedo de la policía que de los delincuentes,seguridad,1,1.0,0.9729861617088318
que fuerte realidad me entristece,seguridad,2,2.0,0.623039186000824
ocultan la verdad,seguridad,1,2.0,0.47827741503715515
oraleee así deberían de proteger a su pueblo y no solo a los extranjeros,seguridad,2,2.0,0.4641740918159485
lo más triste del asunto es que por más que luchen para que no haya mundial el gobierno no les va hacer caso van a seguir con el mundial y seguir invirtiendo en el mundial es triste y da rabia,seguridad,1,1.0,0.8649082779884338
el mundial dará mucho empleo y dinero del turismo así que yo sí estoy de acuerdo con el mundial,seguridad,5,5.0,0.7829391956329346
por qué si tienen tanto no combaten a los narcos,seguridad,1,3.0,0.785798966884613
prefiero seguridad que un stupido mundial de futbol,seguridad,1,1.0,0.9462276697158813
dios mío,seguridad,3,3.0,0.4901656210422516
para los 4 partidos del mundial que va haber como que invirtieron de más no,seguridad,3,3.0,0.5063343644142151
ya no pongan sus fotos ahorita pongalas antes del mundial,seguridad,3,3.0,0.3819770812988281
justicia mexicanos,seguridad,1,3.0,0.8041481375694275
prefiero no tener mundial,seguridad,1,1.0,0.903553307056427
la mediocridad del gobierno y la borregada no da pa más en fin la justicia no existe ni existirá mientras no se reformen las leyes a favor de las víctimas,seguridad,1,1.0,0.9673802852630615
cómo apoyo para que se haga eso en la cdmx también,seguridad,4,4.0,0.5191118121147156
es más seguro ir a jugar a israel o iran que a méxico me da risa mucho,seguridad,3,3.0,0.47239357233047485
cuándo va a cambiar la historia,seguridad,3,3.0,0.5688572525978088
prefiero un méxico sin desaparecidos que un mundial espero que puedan encontrarlos y los familiares tengan paz,seguridad,1,2.0,0.8849941492080688
pero ella jura que todo está bien,seguridad,4,3.0,0.5799309015274048
que raro que no lo terminaron con la palabra bienestar me da risa,seguridad,3,3.0,0.4433354139328003
ojalá todos encuentren a sus seres queridos fuerza y suerte,seguridad,3,2.0,0.5846865773200989
ósea que si tienen el armamento para combatir el narco solo no les importa lo mexicanos,seguridad,1,2.0,0.7356311678886414
se debe informar que solo sería para el mundial y como objetivo los extranjeros y que después del mundial será como cuando desinstalas una app de celular me da risa,seguridad,2,3.0,0.4069099426269531
siguen adelante en el poderoso nombre de jesús sigan y pídanle a dios que el sea su guardador,seguridad,3,3.0,0.4926285445690155
el chiste se cuenta solo este gobierno parece una burla,seguridad,1,1.0,0.9852558374404907
muyyy triste de verdad me dueles méxico,seguridad,1,1.0,0.8808985352516174
que coraje meda todo esto sólo hay seguridad porque va a ver mundial me enoja mucho,seguridad,2,1.0,0.39124932885169983
que lamentable apoyos a las familias afectadas,seguridad,1,2.0,0.7558735013008118
no queremos mundial queremos un méxico seguro,seguridad,1,1.0,0.9771007299423218
qué cosas y por el pueblo mexicano no mueven un dedo me enoja mucho,seguridad,1,2.0,0.530936598777771
a lo mejor alguien entre mucha gente durante el mundial puede ser que ha visto o conocer a un desaparecido esto ayudará mucho,seguridad,3,3.0,0.4439244270324707
apoyo total a este movimiento,seguridad,5,5.0,0.6578804850578308
welcome to jalisco,seguridad,5,4.0,0.6718668937683105
que feo que se enfoquen en esto en vez de proteger al pueblo,seguridad,2,2.0,0.5425038933753967
osea que si se puede nomás no quieren,seguridad,1,3.0,0.6796494722366333
si buscan la ruleta rusa con su seguridad méxico es la opción,seguridad,3,2.0,0.3328431248664856
seguridad en el país seguridad por un partido de fútbol,seguridad,1,3.0,0.8070538640022278
seguro harán un trato con los narcos,seguridad,1,1.0,0.8932886123657227
ku kul kan suena conocido de algo,seguridad,3,3.0,0.6029685735702515
encontrar a los desaparecidos y subir los sueldos no puede ser que en nuestro país casi un 70 trabajen en la informalidad o sin prestaciones de ley y un 49 de los egresados de universidades se encuentran en desempleo,seguridad,1,3.0,0.9046520590782166
y cuando termine el mundial regreso a la realidad,seguridad,3,3.0,0.4856182336807251
