comentario,rango_humano,,,,,,
@Katt ✨:@.: DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓNj🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻,,,,,,,
"‼️‼️‼️""SOMOS LA VOZ DE NUESTROS DESAPARECIDOS"" ‼️‼️‼️",,,,,,,
"😡😡😡 Mientras la presidente recibe artistas y hace conciertos, defiende a los políticos señalados por USA, defiende a los hijos del ex presidente AMLO; a las madres y padres buscadores no los reciben y no atienden el problema.",,,,,,,
Que todos esos desaparecidos sean encontrados! 💜,,,,,,,
"Ahí Dios deberás, hay que ser empaticos 😢",,,,,,,
"A quien le gustaría a un mundial al cuál no podrá ir un hijo, un hermano o padre",,,,,,,
"el futbol es de lo mejor desde siempre, la FIFA la peor basura al menos estos tiempos",,,,,,,
"no dejen de luchar, queremos regresos no mundiales 🤗",,,,,,,
ni loko iria a México,,,,,,,
Justicia Dios los ayude justicia justicia,,,,,,,
"Yo soy madre,y se me duele ver a los familiares de chicos desaparecidos, ésa angustia y dolor permanente,las mamás que ya buscan a sus hijos en las fosas clandestinas,con la esperanza de encontrar a sus hijos,nadie conoce ése sufrimiento más que la madre o familiares lo están viviendo!!!",,,,,,,
"Aaa pero los q vivimos, pagamos impuestos y sus salarios",,,,,,,
:DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓNj🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻,,,,,,,
Quien en su sano juicio iría a México solo por el mundial,,,,,,,
Lo gestionó la administración de Calderón o Peña?,,,,,,,
jajaja entonces gastarán más que lo que ingresara,,,,,,,
Señores entiendan el narcotrafico esta en el congreso por eso no lo hacen,,,,,,,
Kukul que?!,,,,,,,
Messi y Cristina llegando a México,,,,,,,
in dia de mundial por años de desaparesidos mamas con el dolor de no saber de sus hijos mi mexico duele,,,,,,,
Voten bien la próxima!,,,,,,,
"Con lo que gastan de impresiones todos los días, junten para tener suficientes para tapizar el mero día del mundial",,,,,,,
🥹 Las madres buscadoras requieren todo el apoyo,,,,,,,
ni uno más porque si nos falta uno nos faltan todos,,,,,,,
"México no quiere mundial, México quiere seguridad",,,,,,,
están en contra del olvido de nuestros desaparecidos recuerda que el gobierno es el culpable de que el sistema este corrompido,,,,,,,
"jajaja ni regalado voy para México quiero ver el mundial,no andar esquivando balas😂😂",,,,,,,
Una manifestación mega grande el día del mundial que el mundo se entere en carne propia lo que se vive día a día en México,,,,,,,
not0da la culpa la tiene el gobierno también es la educación dela casa la libertad ke les dan alos hijos casi no pasa eso hoy en día,,,,,,,
[Sticker] mientras tanto,,,,,,,
estan queriendo desir que si se puede garantisar seguridad pero solo cuando le conviene al gobierno ?,,,,,,,
[Sticker] Interactuando,,,,,,,
que se cancelé el mundial!!! no lo queremos!!!,,,,,,,
"JAJAJJA Vaya manera de decir: ""Si podemos hacer las cosas bien y mejorar el país, pero no queremos""",,,,,,,
cuanto dolor dios mio cuanto sufrimiento,,,,,,,
🤷‍♂️ya ven que el estado si tiene con que cuando se lo mandan .,,,,,,,
No queremos mundial !!! Queremos seguridad,,,,,,,
Pero si en México te asalta hasta la policía,,,,,,,
EL PLAN. YO CALMO A MIS CRIMINALES NO PASA NADA.SOLO DOY LA ORDEN.,,,,,,,
Que cosas,,,,,,,
no sería más fácil hacer los juegos en otro pais?,,,,,,,
"No queremos Mundial, queremos seguridad en todo México, medicinas en los hospitales ya vasta que estén derrochando el poco dinero que hay .
😡😡😡😡😡",,,,,,,
"creo que está quedando claro que los mexicanos no queremos mundial, queremos vivir seguros",,,,,,,
Así deberían de asegurar la seguridad de los ciudadanos para siempre no nada más cuando hay mundial,,,,,,,
"no enserio, que pena...",,,,,,,
dios los bendiga,,,,,,,
"Mucha gente invierte en el mundial de que es difícil pero entonces debieron interponer todas las medidas para que no se celebrara en México, suena crudo.",,,,,,,
al chile México no merece nada,,,,,,,
Mexicanos hay que tumbar el mundial✅,,,,,,,
"Con todo lo qué pasa en el país, ¿de verdad necesitamos un mundial? Yo no lo creo.",,,,,,,
no nos cuidan a los Mexicanos. Van a andar cuidando extrangeros,,,,,,,
de hecho el futbol es un ente muy aparte a la politica los gobiernos no pagsn a los jugadores etc.,,,,,,,
Ojalá así nos protegieran a nosotros los mexicanos ✊🏻,,,,,,,
Yo no entiendo como no son empaticos ósea soy madre y perder un hijo no tiene nombre y se que no puedo dimensionar lo que sienten pero si puedo hacer algo y si el gobierno tiene recursos es incongruente que para unas cosas si puede gastar y otras no,,,,,,,
Y ya que se acabe el mundial volvemos a los asesinatos y desapariciones ?,,,,,,,
buenos para proteger a extranjeros y no para proteger a su gente,,,,,,,
no queremos mundial queremos seguridad,,,,,,,
"deberían de acudir al cuadro del centro histórico, justo donde están pintando y remodelando y alli pedirle permiso a cada locatario para poner una pequeña lona en el exterior",,,,,,,
"Cuando tendremos un buen gobierno, cada vez lo veo más imposible 🥲",,,,,,,
👍 y parece que nadie conoce a los secuestradores solo es cuestión de investigación sería,,,,,,,
"me estás diciendo, que mexico si puede implementar medidas de seguridad... pero no para los mexicanos 😑",,,,,,,
Ven que si tienen con que detener el narco pero no lo hacen,,,,,,,
es de terror lo que vivimos en México,,,,,,,
DEBE SER UNA PESADILLA VIVIR EN MEXICO Y UN HOLOCAUSTO CAMINAR EN ELLA,,,,,,,
[Sticker] ,,,,,,,
[Sticker] Claudia se convirtió en calderón,,,,,,,
"Que triste la verdad, y mas triste a un que le valga un cacahuate a la presidenta",,,,,,,
"ESA ""SEGURIDAD"" DEBE DE SER PERMANENTE, ACASO VALE MAS LA VIDA DE EXTRANJEROS QUE LOS MEXICANOS?",,,,,,,
[Sticker] ,,,,,,,
[Sticker] JUSTICIAAAAAAAAA,,,,,,,
Ojalá en VERDAD CANCELEN EL #MUNDIAL,,,,,,,
bien hecho yo soy aficionado al fútbol pero antes que eso soy papá de tres y no quisiera pensar que algo les pasara sigan adelante apoyo total 👌👍🙏,,,,,,,
NO. QUEREMOS MUNDIAL. QUEREMOS QUE BUSQUEN A NUESTROS DESAPARECIDOS,,,,,,,
"a México le iban a quitar ser sede ?
y a EEUU porque no si se metió en un lío con irán y a él no?",,,,,,,
¿Saben qué da mucha vergüenza? Que hay personas que prefieren que su equipo gane a que encuentren a los desaparecidos...,,,,,,,
Ahora resulta que si se puede cuidar las ciudades 😳,,,,,,,
"lo bueno es que México está en paz, si no para que meter tanta seguridad",,,,,,,
Y los mexicanos desapareciendo cada día 🥀😕,,,,,,,
que dejen ese plan para el resto del sexenio qué les cuesta,,,,,,,
ojalá suspendan ese mundial,,,,,,,
Está es la propaganda que la FIFA necesita para revivir el mundial,,,,,,,
"Me encanta el mundial, será un evento que disfrutaré mucho, tienen mucha razón ojalá el país fuera diferente",,,,,,,
Porque será que nos les creo si la policía es más corrupta que el gobierno,,,,,,,
"El gobierno haciendo esto en mundial pero no lo hace a diario por que .?
por que el gobierno esta al mando del narco",,,,,,,
proteger turistas x la derrama económica por unos dias y todos los ciudadanos que pagamos impuestos hasta x respirar no lo merecemos? total burla para los mexicanos por mi que se cancele,,,,,,,
Muy cierto !! 😒,,,,,,,
Que triste pero es la realidad que vivimos 🙏🙏🙏,,,,,,,
"Dios les de mucha más fuerza amor y valor para seguir algo que todo el gobierno carece , vamos mexicanos apoyemos a la gente que si lo merece y no a un partido político que no merece que ninguna persona lo defienda",,,,,,,
No hay nada que celebrar. Que el mundo entero conozca lo que se vive aquí en México día con día el miedo a salir y no regresar.,,,,,,,
Para defender a los extranjeros y a los mexicanos cuando 🤣,,,,,,,
México mundial,,,,,,,
y están gastando. en campañas.,,,,,,,
y porque no hacen eso para sus ciudadanos???,,,,,,,
Que dolor caray,,,,,,,
i porque no asen eso por su propia jente,,,,,,,
"@Jordy Q:el mundial no trae ningún beneficio al país anfitrión, solo hay que investigar el desastre que ocurrió en cada país anfitrión del mundial",,,,,,,
"Como? Entonces si tienen la capacidad para desplazar un gran plan de seguridad para cuidar a los que son parte del mundial, pero en diferentes estados no pueden erradicar la delincuencia, que raro?",,,,,,,
[Sticker] ,,,,,,,
que no se haga en mexico,,,,,,,
We que se cancele,,,,,,,
"“Nuestros desaparecidos, muchos, jugaban futbol”",,,,,,,
"son heroes, que Dios este con ellos y encuentren a sus seres amados",,,,,,,
Por que no usan esa tecnología y elementos contra el crimen organizado? Que verguenza que el futbol tenga más importancia que la seguridad nacional,,,,,,,
Y porque no protegen de esa misma forma a los mexicanos? 🤬🤬🤬 este gobierno es lo PEOR !!!!!!,,,,,,,
para los turistas si hay seguridad y para nosotros los ciudadanos que,,,,,,,
Totalmente de acuerdo 🥺♥️por favor que nuestro próximo voto 🗳️sea muy bien pensado,,,,,,,
"O sea lo único que dan a entender es que México si tiene capacidad (y de sobra) en materia de seguridad, pero solo para el mundial. Que interesante",,,,,,,
el detalle es que ls visitantes saben como los narcos están en la policia así que no es muy seguro,,,,,,,
"Por mucho que ame el fútbol, la seguridad de las personas es importante, el mundial no es importante cuando hay una crisis así en el país.
difundan el vídeo para que llegue a mas personas.",,,,,,,
"Nada les embona, que si hay seguridad, que si es demasiada seguridad 🤦🏻",,,,,,,
México está en guerra no tienen que hacer partidos ahí.,,,,,,,
Esto del mundial terminará muy mal,,,,,,,
"Dios bendiga 🙏 a todas las personas que siguen buscando a sus hijos e hijas, de todo corazón esperamos que puedan encontrar a sus jóvenes, millones estamos con ustedes, si podemos apoyar con algo, cuentan con nosotros.",,,,,,,
Ojalá cancelen la sede,,,,,,,
allá no voy a ir nunca,,,,,,,
Los mexicanos también tenemos miedo de salir en México 😐,,,,,,,
era fuerza aerea o pobreza aerea?,,,,,,,
le recomiendo no ir por su bien el narc se va a cobrar vid 😞😔,,,,,,,
[Sticker] El gobierno viendo como están llenas las calles de desaparecidos.,,,,,,,
"osea que si se puede hacer , el gobierno y sus mentiras, nada nuevo...",,,,,,,
No sé preocupen el mundial será mayormente en eeuu,,,,,,,
cuidan a todos menos a los Mexicanos jajaja vaya cosa,,,,,,,
Será el plan kukusklan 🤣🤣🤣🤣,,,,,,,
Justicia y apoyo para todas las familias que tienen un familiar desaparecido...😭,,,,,,,
[Sticker] Kukulkán 😆,,,,,,,
Si el gobierno mexicano le diera importancia a las personas que dia a día desaparecen como al mundial nadie se quejaria pero lastimosamente no hacen nada,,,,,,,
BLOQUEEN TODOS LOS PARTIDOS YA BASTA DE ESTA INJUSTICIA 😡,,,,,,,
DEBERÍA HABER SEGURIDAD SIEMPRE,,,,,,,
Hay más personas desaparecidas que los habitantes de una ciudad del interior de Panamá 😭😱😨,,,,,,,
"Con esto demuestran que siempre han podido protegernos, pero han decidido NO hacerlo. Bendita 4T.",,,,,,,
Prefiero sentirme segura en mi país que un mundial o cualquier otra cosa 100%!!!,,,,,,,
Si hay miedo en sus habitantes imagínate en habitantes de otros países,,,,,,,
"Y si el gobierno tiene esa capacidad de protección y defensa, porque no aplica de manera permanente??",,,,,,,
"sólo para el mundial hee, ya pasando regresa la realidad del país.",,,,,,,
"Tengan en cuenta que cubrirán un lado, pero otros quedarán desprotegidos y ahí se harán los madres, por qué todo esto que dicen solo es en las sedes",,,,,,,
en lugar del Mundial... ayuden a esas familias!!!!,,,,,,,
"Para eso si hay Ejército, Marina, GN, pero aquí en Sinaloa qué siga la violencia 😎",,,,,,,
[Sticker] ay que padre saber que si hay seguridad,,,,,,,
@Tony:Osea están reconociendo que si pueden dar seguridad a México pero han escogido en no hacerlo todo este tiempo? este régimen es una burla,,,,,,,
"no queremos mundial, queremos de regreso a nuestros desaparecid@s.",,,,,,,
¿Cuándo sale el plan de seguridad que protege a los mexicanos?,,,,,,,
[Sticker] el gobierno,,,,,,,
yo amo el futbol pero que poca madre el gobierno solo actua por los extranjeros cuando hay lugares que del diario sufren de violencia miedo y aveces no hay manera de sobrevivir,,,,,,,
"Ojalá y se cancele, que no vengan los equipos de fútbol a México",,,,,,,
Huelgas en los estadios 🏟️sedes de mundial,,,,,,,
Y si cooperamos para que impriman más ?,,,,,,,
Así hubieran protegido al Presidente Municipal de Uruapan El Señor Carlos Manzo,,,,,,,
ESTE GOBIERNO ES UNA REAL VERGUENZA🤣🤣,,,,,,,
"Y después de que se acabe el mundial, a la normalidad de nuevo! Este operativo debería ser 24/7 los 365, y aplicarlo como nuevo decreto presidencial",,,,,,,
"pues el mundial es cada 4 años, desapareciones todos los días xdxd",,,,,,,
Porque la FIFA no le hace lo mismo a EEUU así como le hizo contra Rusia cuando empezaron la guerra?,,,,,,,
Entonces si pueden proteger al país pero solo cuando les conviene… 😒,,,,,,,
ya que tengamos gente hacen el mundial,,,,,,,
y por que no usan esa fuerza para contrarrestar a quienes atentan contra los propios mexicanos??,,,,,,,
Ósea que si se puede realizar un plan de protección a los ciudadanos?,,,,,,,
excelente,,,,,,,
Vergüenza de gobierno tenemos!!!,,,,,,,
los gobiernos quieren silenciar la molestia de la gente en tantos sectores que ya no saben que hacer y piensan que es puro boot,,,,,,,
oyeron bien? Tiene como objetivo proteger a los turistas...,,,,,,,
qué dolor 😭😭😭,,,,,,,
y si boycoteamos el fútbol???😳,,,,,,,
[Sticker] KuKulKan me suena conocido,,,,,,,
[Sticker] ,,,,,,,
"Es una realidad que en México se vive un tema de inseguridad muy severo, pero mayormente estos movimientos, no digo que todo esté financiado por partidos políticos.",,,,,,,
No cuidan a los mexicanos!! Que les espera a los turistas tstsss,,,,,,,
Ojalá el mundial durara por siempre,,,,,,,
ojala encuentren a sus familiares,,,,,,,
Muy chingon su plan para cuidar a extranjeros. Cuál es el plan para cuidar mexicanos?,,,,,,,
"Entonces me están diciendo que si podemos tener un país seguro, simplemente no nos daba la gana?",,,,,,,
Que triste que les importen más los turistas que su propia gente,,,,,,,
Bien dicho,,,,,,,
nada que ver ...cada quien tiene su historia... y lo que hoy desprecian tal vez es el salvavidas para otra persona.....que también está sufriendo,,,,,,,
Amén! Muchas bendiciones y mi apoyo con ustedes JUSTICIA,,,,,,,
"asi deberia de ser todo el año en vez de solo por el mundial,dirán que eso requerira mucho dinero,pero por eso se pagan impuestos y por eso le subio los impuestos a ciertas cosas",,,,,,,
y a usa no le van a decir nada?,,,,,,,
Que fuerte ; bendiciones de todo corazón.,,,,,,,
Apoyo total y visibilidad a esta problemática 🙏🙏,,,,,,,
"una vez acabé el mundial el ""super plan"" se va",,,,,,,
y la seguridad de los cuidados mexicanos,,,,,,,
[Sticker] 😭,,,,,,,
no al mundial,,,,,,,
"así es, fuera el.mundial..",,,,,,,
"una vergüenza que el estado solo invierta en seguridad cuando necesitan aparentar, pero a su propia gente deja que la desaparezcan y la maten como si nada",,,,,,,
"Si se hacen manifestaciones el día de los partidos, yo creo que muchos jaliscienses los apoyamos",,,,,,,
Botón para que cancelen el mundial !!! México no lo merece !!!,,,,,,,
Todo el país debe manifestarse,,,,,,,
Todo eso nos costará mucho dinero,,,,,,,
y plan para proteger a los turistas pero no a los mexicanos 😆🤣,,,,,,,
Que triste 🥺es verdad da prioridad al mundial y lo que me imagino es que después del mundial preparan nueva pandemia,,,,,,,
[Sticker] ,,,,,,,
"puedes tener el mejor plan, pero si los elementos son c0rrup70s va estar denso",,,,,,,
esté dispositivo de seguridad debería ser SIEMPRE,,,,,,,
Va a ser el peor mundial q se realice…. 😏😏😏,,,,,,,
Que le hacen a la mamada esto no es ni mundial,,,,,,,
[Sticker] Great! Podré viajar a México,,,,,,,
Oigan pero es sus fotos muy santitos no se ven,,,,,,,
Ojala nadie vaya es muy peligroso,,,,,,,
Nomas por un mundial 😭 suena como Perú con los árboles 🤣,,,,,,,
en el estadio gritar fuera claudia,,,,,,,
Duermete,,,,,,,
total apoyo😎,,,,,,,
esperemos que si se cancele el mundial.,,,,,,,
GENTE Y QUIEN PROTEJERA A LOS MEXICANOS DEL NARCOMORENA PIENCEN LOS EXTRANJEROS ESTARAN PROTEGIDOS LOS MEXICANOS Y MEXICANAS NO,,,,,,,
y porque no dejan ese plan permanente para combatir a los narcos.,,,,,,,
ahora si despliegan seguridad? por partidos de fútbol. cuando esté plan debió y debe estar siempre activo para nosotros los mexicanos.,,,,,,,
Menos ganas me dieron de ir a México la neta,,,,,,,
eso deberían de hacer todo el año y en todo México no nomas en esos eventos 🙄🙄🙄🙄,,,,,,,
"ojalá algún día logren encontrar a sus familiares 🥺
pero con todo respeto, empezó mal tu vídeo, pues todos tenemos derecho de vivir y divertirnos, y la vida sigue, no xq algunos la estemos pasando mal, el país se tiene q paralizar, Dios los ayude y su familiar regrese🙏🏼💜",,,,,,,
"No hay peor ciego que el que no quiere ver.
Si pueden dar seguridad PERO NO QUIEREN 😡",,,,,,,
"[Sticker] Sea como sea, esos narcos van a acabar con los turista y dañará el mundia en esa parte, acuérdense de mi",,,,,,,
Hagan un go found me o algo para aportar a sus impresiones,,,,,,,
pero si peña nieto fue el que trajo el mundial a México,,,,,,,
Todos tienen fintas licenciados 😳,,,,,,,
no vaya a ser que desaparecen 20 alumnos de 19 años porque ahi si ni voltean a ver,,,,,,,
y porque no hacen eso siempre ? 🤷🏾‍♂️,,,,,,,
No al mundial 🚫 🇲🇽,,,,,,,
Claudia Chimbaun viendo el video,,,,,,,
Que tristeza que tengan que arreglar la violencia por el mundial y no por el bien de los mexicanos,,,,,,,
